[08_partial_rsa] push loading ...
[08_partial_rsa] push L00 acc=0.080 ct=0.258
[08_partial_rsa] push L01 acc=0.126 ct=0.166
[08_partial_rsa] push L02 acc=0.276 ct=0.084
[08_partial_rsa] push L03 acc=0.265 ct=0.081
[08_partial_rsa] push L04 acc=0.235 ct=0.217
[08_partial_rsa] push L05 acc=0.236 ct=0.203
[08_partial_rsa] push L06 acc=0.188 ct=0.220
[08_partial_rsa] push L07 acc=0.210 ct=0.199
[08_partial_rsa] push L08 acc=0.218 ct=0.206
[08_partial_rsa] push L09 acc=0.241 ct=0.204
[08_partial_rsa] push L10 acc=0.228 ct=0.195
[08_partial_rsa] push L11 acc=0.202 ct=0.171
[08_partial_rsa] push L12 acc=0.248 ct=0.148
[08_partial_rsa] push L13 acc=0.264 ct=0.158
[08_partial_rsa] push L14 acc=0.274 ct=0.118
[08_partial_rsa] push L15 acc=0.308 ct=0.145
[08_partial_rsa] push L16 acc=0.310 ct=0.148
[08_partial_rsa] push L17 acc=0.330 ct=0.156
[08_partial_rsa] push L18 acc=0.327 ct=0.182
[08_partial_rsa] push L19 acc=0.333 ct=0.158
[08_partial_rsa] push L20 acc=0.327 ct=0.155
[08_partial_rsa] push L21 acc=0.334 ct=0.163
[08_partial_rsa] push L22 acc=0.332 ct=0.165
[08_partial_rsa] push L23 acc=0.296 ct=0.138
[08_partial_rsa] strike loading ...
[08_partial_rsa] strike L00 acc=0.270 ct=0.106
[08_partial_rsa] strike L01 acc=0.317 ct=0.123
[08_partial_rsa] strike L02 acc=0.374 ct=0.139
[08_partial_rsa] strike L03 acc=0.329 ct=0.149
[08_partial_rsa] strike L04 acc=0.272 ct=0.181
[08_partial_rsa] strike L05 acc=0.238 ct=0.177
[08_partial_rsa] strike L06 acc=0.145 ct=0.193
[08_partial_rsa] strike L07 acc=0.165 ct=0.180
[08_partial_rsa] strike L08 acc=0.152 ct=0.167
[08_partial_rsa] strike L09 acc=0.207 ct=0.093
[08_partial_rsa] strike L10 acc=0.238 ct=0.074
[08_partial_rsa] strike L11 acc=0.215 ct=0.044
[08_partial_rsa] strike L12 acc=0.263 ct=0.039
[08_partial_rsa] strike L13 acc=0.275 ct=0.033
[08_partial_rsa] strike L14 acc=0.285 ct=0.042
[08_partial_rsa] strike L15 acc=0.282 ct=0.091
[08_partial_rsa] strike L16 acc=0.292 ct=0.095
[08_partial_rsa] strike L17 acc=0.303 ct=0.113
[08_partial_rsa] strike L18 acc=0.299 ct=0.120
[08_partial_rsa] strike L19 acc=0.313 ct=0.127
[08_partial_rsa] strike L20 acc=0.312 ct=0.150
[08_partial_rsa] strike L21 acc=0.329 ct=0.134
[08_partial_rsa] strike L22 acc=0.361 ct=0.161
[08_partial_rsa] strike L23 acc=0.351 ct=0.173
