task,layer,group,rho1,energy,rank90,n_components
push,0,pos,0.9255444242115306,2.706802602885999,5,6
push,0,vel,0.7221886637855541,1.1263672658544603,4,6
push,0,acc,0.2788504663256553,0.1648719179094624,4,6
push,0,ct,0.7496930742865766,1.1701340899279986,3,5
push,1,pos,0.9692920239582747,2.6691276699073723,4,6
push,1,vel,0.8521957245322153,1.8231977403203066,4,6
push,1,acc,0.2925327060642034,0.22294670864566177,4,6
push,1,ct,0.7691301801522497,1.2215078112960613,4,5
push,2,pos,0.939172473289557,1.6101720355115732,3,6
push,2,vel,0.855672189802964,1.36081992836548,3,6
push,2,acc,0.256929744396247,0.11908580386615449,3,6
push,2,ct,0.6998523872082929,0.7628706795638519,2,5
push,3,pos,0.9485972936993784,2.028030442014203,4,6
push,3,vel,0.8904854369403803,1.640463446704606,3,6
push,3,acc,0.31583977900151905,0.20417427873140134,3,6
push,3,ct,0.7074988415952532,0.8440242924205545,3,5
push,4,pos,0.9593711176025707,2.231154588010965,3,6
push,4,vel,0.9350734863331008,2.1133124567782784,3,6
push,4,acc,0.32383343286714444,0.2212034072076858,3,6
push,4,ct,0.7202951530529313,0.9071567019437087,3,5
push,5,pos,0.9789998776350359,2.4173206625314823,3,6
push,5,vel,0.9329410065207725,2.04932292725628,3,6
push,5,acc,0.3290189534380448,0.23813478928320503,3,6
push,5,ct,0.6953233055447446,0.8165771561675577,3,5
push,6,pos,0.9765820832566119,2.5542027448796127,3,6
push,6,vel,0.9476506710913708,2.2560654926943924,3,6
push,6,acc,0.33825895474859474,0.2594874085049188,3,6
push,6,ct,0.7368847976630291,1.013483287950939,3,5
push,7,pos,0.9905347195875801,2.946120953642691,4,6
push,7,vel,0.9538355687651193,2.558835215074406,4,6
push,7,acc,0.34442308869507543,0.29850112280835633,3,6
push,7,ct,0.7913225648406904,1.3354799510544426,3,5
push,8,pos,0.9911828821312485,3.1595798862461,4,6
push,8,vel,0.9543285927094308,2.762348758907736,4,6
push,8,acc,0.3482178648856464,0.34910482459800524,4,6
push,8,ct,0.8042111969354194,1.4205854334793953,3,5
push,9,pos,0.9926191291647722,3.398396982026453,4,6
push,9,vel,0.9571814404669116,2.9248944244985156,4,6
push,9,acc,0.35599939208316234,0.41271654447303313,4,6
push,9,ct,0.8492032266893478,1.6982290579524681,4,5
push,10,pos,0.9947351932346351,3.57038777202597,4,6
push,10,vel,0.9581921933784608,3.1305059052369044,4,6
push,10,acc,0.36708894267327097,0.4277652629247265,4,6
push,10,ct,0.8600526580594752,1.7582440544122175,4,5
push,11,pos,0.9955476147458182,3.6847018740855635,5,6
push,11,vel,0.9586217476020322,3.1600936514752744,4,6
push,11,acc,0.3663946716399019,0.44075103280883654,4,6
push,11,ct,0.8663478555458637,1.8163598127377916,4,5
push,12,pos,0.9950104643813136,3.7830685772089443,5,6
push,12,vel,0.9593026818422321,3.3862104793739163,5,6
push,12,acc,0.38918520953743496,0.48649698498681715,5,6
push,12,ct,0.8724578925239855,1.8588679045096026,4,5
push,13,pos,0.9951356107154335,3.696811060618063,4,6
push,13,vel,0.9644918921272717,3.393664103488792,5,6
push,13,acc,0.3944665365223084,0.4968636868734122,5,6
push,13,ct,0.8764567601889905,1.9255147718053447,4,5
push,14,pos,0.9957367126681674,3.579179270652612,4,6
push,14,vel,0.9692098763904512,3.149603971656684,4,6
push,14,acc,0.3910912565777438,0.46998200440927923,4,6
push,14,ct,0.8644854185598224,1.7945644072536944,4,5
push,15,pos,0.9943512433565143,3.500522352341839,4,6
push,15,vel,0.968105959156144,3.0495567029172106,4,6
