,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.43562126,0.13378364,0.14140503,0.17266148,0.2160862,0.2588536,0.304568,0.32898548,0.38714346,0.40033478,0.40220636,0.28084242,0.29315934,0.32082453,0.32961005,0.36353275,0.37149632,0.37834746,0.39082268,0.39451185,0.3989896,0.40810353,0.3808784
L01,0.43562126,1.0,0.74915177,0.70833814,0.705756,0.6966489,0.67424196,0.68779194,0.63111174,0.53480834,0.51879966,0.5311022,0.43642473,0.44630364,0.48119903,0.48926228,0.48629832,0.46842888,0.46742132,0.4594196,0.44561836,0.431578,0.42361227,0.39489985
L02,0.13378364,0.74915177,1.0,0.9842291,0.95240474,0.8985195,0.82238233,0.80566907,0.6826546,0.47542182,0.44369775,0.45917168,0.3768465,0.3781,0.4058863,0.40889072,0.38458112,0.36680472,0.3590856,0.34337422,0.32514995,0.30419207,0.29215357,0.27042967
L03,0.14140503,0.70833814,0.9842291,1.0,0.9763341,0.92227095,0.85469043,0.8382721,0.71128345,0.4866939,0.4584134,0.47368652,0.3922723,0.38764486,0.41486028,0.41949695,0.3982137,0.38426426,0.37814665,0.36047104,0.3386706,0.3120263,0.29502356,0.27304783
L04,0.17266148,0.705756,0.95240474,0.9763341,1.0,0.97150844,0.9182546,0.90570986,0.79379845,0.5518787,0.5393552,0.56346154,0.51816124,0.5035814,0.52671576,0.53096837,0.5058301,0.49465787,0.48388672,0.4498055,0.41463533,0.37927222,0.35802624,0.33101153
L05,0.2160862,0.6966489,0.8985195,0.92227095,0.97150844,1.0,0.96665484,0.9504888,0.84913146,0.6188914,0.6143956,0.6403081,0.60597193,0.58845943,0.6110246,0.61662227,0.5953623,0.5846006,0.57414925,0.5374982,0.49868736,0.4613483,0.43695727,0.40599823
L06,0.2588536,0.67424196,0.82238233,0.85469043,0.9182546,0.96665484,1.0,0.9870864,0.8903494,0.6924273,0.69367015,0.7202462,0.6756845,0.6629123,0.69056696,0.70293474,0.69193333,0.6771041,0.67403466,0.6405374,0.60261434,0.560139,0.5331026,0.5008605
L07,0.304568,0.68779194,0.80566907,0.8382721,0.90570986,0.9504888,0.9870864,1.0,0.91979456,0.736375,0.74246097,0.7703829,0.706153,0.6991921,0.7288214,0.7404846,0.7323515,0.71908796,0.7137747,0.6840668,0.6490371,0.6086871,0.581935,0.54814386
L08,0.32898548,0.63111174,0.6826546,0.71128345,0.79379845,0.84913146,0.8903494,0.91979456,1.0,0.7736494,0.7905851,0.8100312,0.7663959,0.7563403,0.77761286,0.779482,0.7623581,0.7521668,0.74287045,0.70781916,0.67354643,0.6373931,0.6098293,0.5774273
L09,0.38714346,0.53480834,0.47542182,0.4866939,0.5518787,0.6188914,0.6924273,0.736375,0.7736494,1.0,0.9815498,0.9614045,0.73826414,0.7532726,0.7706145,0.7712381,0.7735739,0.7539156,0.7459918,0.73574793,0.72624874,0.703916,0.6902798,0.6632115
