,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.41909078,0.3124664,0.31612656,0.3465425,0.35298154,0.36673734,0.3750025,0.38523847,0.40749598,0.41482395,0.41987324,0.44235024,0.49529102,0.4976377,0.4987684,0.5033334,0.5189137,0.522542,0.53651226,0.54853517,0.5624447,0.55401635,0.52092236
L01,0.41909078,1.0,0.78443915,0.7837454,0.6881021,0.66067535,0.69414145,0.70795333,0.70701385,0.69838274,0.6986837,0.7064798,0.6619546,0.6707571,0.65783155,0.6561322,0.65050244,0.6233461,0.60086673,0.57641214,0.5717376,0.5308486,0.49990365,0.43737158
L02,0.3124664,0.78443915,1.0,0.99670315,0.90629125,0.87616926,0.900069,0.9048721,0.8949896,0.8660236,0.8526719,0.86323667,0.7953962,0.7760884,0.7615201,0.77848834,0.76047176,0.7090601,0.6771412,0.62744033,0.6146359,0.5490341,0.50540704,0.4298683
L03,0.31612656,0.7837454,0.99670315,1.0,0.91687953,0.8886312,0.91293633,0.9182417,0.9092661,0.8822328,0.8697769,0.8799714,0.81219846,0.7919305,0.7779454,0.7935544,0.77663183,0.72570074,0.6947175,0.64575595,0.6324804,0.565916,0.52028966,0.44326502
L04,0.3465425,0.6881021,0.90629125,0.91687953,1.0,0.9958367,0.9902436,0.9857771,0.9761069,0.94117856,0.930977,0.9326064,0.88263124,0.8675409,0.85565263,0.87212485,0.84630966,0.80695176,0.78984374,0.7360814,0.7243455,0.65469366,0.5960147,0.5175936
L05,0.35298154,0.66067535,0.87616926,0.8886312,0.9958367,1.0,0.9914091,0.98663324,0.9784926,0.9434677,0.93457574,0.935689,0.89046025,0.8795012,0.8691582,0.88361984,0.8569937,0.8237632,0.8101978,0.7575543,0.74603814,0.6777662,0.61601865,0.53724885
L06,0.36673734,0.69414145,0.900069,0.91293633,0.9902436,0.9914091,1.0,0.9985582,0.9927361,0.96417075,0.9549021,0.9566107,0.9080432,0.8989417,0.88728154,0.9003171,0.8762579,0.8431553,0.82581615,0.77561045,0.7635874,0.6946669,0.63366014,0.5524936
L07,0.3750025,0.70795333,0.9048721,0.9182417,0.9857771,0.98663324,0.9985582,1.0,0.99594456,0.9676414,0.9604092,0.96315926,0.915919,0.90839905,0.89709765,0.90858215,0.88594973,0.85387534,0.836378,0.78739864,0.7753862,0.70742315,0.64676684,0.5641923
L08,0.38523847,0.70701385,0.8949896,0.9092661,0.9761069,0.9784926,0.9927361,0.99594456,1.0,0.9705924,0.96407497,0.96554905,0.918672,0.9145634,0.9034948,0.912399,0.88966227,0.8615665,0.8455415,0.79916996,0.7879324,0.72236454,0.6607081,0.5780404
L09,0.40749598,0.69838274,0.8660236,0.8822328,0.94117856,0.9434677,0.96417075,0.9676414,0.9705924,1.0,0.99367034,0.9891827,0.9513192,0.9411366,0.93184537,0.93107593,0.91586864,0.8948758,0.8782578,0.840622,0.8294615,0.76871353,0.71088105,0.62926096
L10,0.41482395,0.6986837,0.8526719,0.8697769,0.930977,0.93457574,0.9549021,0.9604092,0.96407497,0.99367034,1.0,0.9964298,0.96372753,0.95397025,0.94674015,0.9405782,0.92598164,0.90834624,0.89349395,0.85648686,0.8460457,0.78654283,0.7281374,0.64702016
L11,0.41987324,0.7064798,0.86323667,0.8799714,0.9326064,0.935689,0.9566107,0.96315926,0.96554905,0.9891827,0.9964298,1.0,0.9691101,0.95915383,0.9510155,0.9464633,0.9315029,0.9116576,0.89664775,0.8583616,0.8486877,0.7902008,0.7346606,0.65338874
L12,0.44235024,0.6619546,0.7953962,0.81219846,0.88263124,0.89046025,0.9080432,0.915919,0.918672,0.9513192,0.96372753,0.9691101,1.0,0.97740924,0.96996176,0.9564559,0.9427887,0.93208784,0.92343533,0.8878578,0.88148254,0.83425856,0.78954583,0.7198347
L13,0.49529102,0.6707571,0.7760884,0.7919305,0.8675409,0.8795012,0.8989417,0.90839905,0.9145634,0.9411366,0.95397025,0.95915383,0.97740924,1.0,0.99405843,0.98420155,0.9744884,0.97025526,0.96277696,0.93814087,0.9319801,0.89330596,0.8442866,0.7669717
L14,0.4976377,0.65783155,0.7615201,0.7779454,0.85565263,0.8691582,0.88728154,0.89709765,0.9034948,0.93184537,0.94674015,0.9510155,0.96996176,0.99405843,1.0,0.9904249,0.9814492,0.98053443,0.9725238,0.9486565,0.94169855,0.9030687,0.8515037,0.7723061
