,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.17670234,0.066435404,0.06769776,0.050447468,0.043173727,0.046187922,0.05435415,0.055844683,0.17366369,0.16221213,0.18973918,0.28950596,0.2643742,0.24585329,0.17440698,0.17416534,0.17695825,0.1687981,0.18951733,0.22353336,0.26395613,0.32010013,0.334382
L01,0.17670234,1.0,0.70302594,0.70477474,0.5842581,0.54149425,0.54812115,0.5577103,0.5412959,0.5165798,0.51230353,0.5153256,0.45772785,0.47343948,0.47134647,0.42162916,0.43819734,0.4230688,0.41760468,0.4144024,0.3896021,0.3476659,0.29115927,0.19863015
L02,0.066435404,0.70302594,1.0,0.9949292,0.8310042,0.7847704,0.7998768,0.80672926,0.77197593,0.7430105,0.74535966,0.75149006,0.64020956,0.6660614,0.6694951,0.6354075,0.6340142,0.59751314,0.5853744,0.5662917,0.5268151,0.45234078,0.36404702,0.22503388
L03,0.06769776,0.70477474,0.9949292,1.0,0.84309673,0.79863423,0.8144047,0.8202508,0.78501946,0.75654006,0.7586392,0.765931,0.652744,0.67781234,0.679735,0.6436084,0.64269817,0.60705274,0.59453845,0.5744811,0.5352396,0.461059,0.3715775,0.23058204
L04,0.050447468,0.5842581,0.8310042,0.84309673,1.0,0.99454373,0.9861949,0.9799034,0.93725204,0.88886184,0.9039345,0.8936785,0.7751656,0.81522816,0.8181981,0.82614225,0.8250094,0.78725785,0.7819303,0.742467,0.67632335,0.56983745,0.44571117,0.27482536
L05,0.043173727,0.54149425,0.7847704,0.79863423,0.99454373,1.0,0.9897731,0.98112327,0.9397344,0.8918263,0.90736395,0.8939205,0.7787777,0.8194064,0.8211619,0.833529,0.83295137,0.79903156,0.7960536,0.7551657,0.6872975,0.5773333,0.44960222,0.27821526
L06,0.046187922,0.54812115,0.7998768,0.8144047,0.9861949,0.9897731,1.0,0.9965133,0.9670979,0.9141835,0.9258205,0.91395676,0.7976432,0.8368221,0.83751947,0.8467143,0.84527814,0.81185913,0.80732304,0.7659189,0.69721687,0.586818,0.45815453,0.2850407
L07,0.05435415,0.5577103,0.80672926,0.8202508,0.9799034,0.98112327,0.9965133,1.0,0.9787992,0.9239489,0.93541694,0.9215654,0.8062837,0.84481573,0.84548736,0.8527145,0.8527296,0.8175273,0.81212336,0.77301586,0.7040128,0.5951679,0.46752566,0.29387617
L08,0.055844683,0.5412959,0.77197593,0.78501946,0.93725204,0.9397344,0.9670979,0.9787992,1.0,0.9300561,0.9301147,0.9056059,0.79029226,0.82369435,0.8211852,0.8220617,0.8230265,0.78903425,0.78347135,0.7488685,0.68201905,0.5781867,0.45468777,0.28848827
L09,0.17366369,0.5165798,0.7430105,0.75654006,0.88886184,0.8918263,0.9141835,0.9239489,0.9300561,1.0,0.99023104,0.9705149,0.8884287,0.8978263,0.888628,0.85320145,0.84866714,0.8199444,0.8140491,0.7913458,0.74664474,0.6545352,0.54503417,0.38411593
