task,layer,tau,metric,mean,sem,n
push,0,-8,speed,0.20406533281008402,0.005273551078436331,30
push,0,-7,speed,0.20368485202391942,0.005398207037321506,30
push,0,-6,speed,0.2069142758846283,0.005783607046691253,30
push,0,-5,speed,0.2085938404003779,0.0063127873390969695,30
push,0,-4,speed,0.20982643316189448,0.0065239811746962495,30
push,0,-3,speed,0.20732564280430477,0.00562585892222163,30
push,0,-2,speed,0.2048117662469546,0.0060877401133095236,30
push,0,-1,speed,0.1968382015824318,0.005961357773198646,30
push,0,0,speed,0.191416438917319,0.005952391940413343,30
push,0,1,speed,0.18990127940972645,0.005664499244487712,30
push,0,2,speed,0.1902226537466049,0.0061119681605720675,30
push,0,3,speed,0.1953691487510999,0.006039163345599017,30
push,0,4,speed,0.1971426025032997,0.006134396184804215,30
push,0,5,speed,0.2000566447774569,0.006858558063348752,30
push,0,6,speed,0.20467433581749597,0.007438992319121371,30
push,0,7,speed,0.20952487836281458,0.006416521142953863,30
push,0,8,speed,0.21318750331799188,0.005976578269243961,30
push,0,-8,curvature,1.3054238661199458,0.044852903964718416,30
push,0,-7,curvature,1.2938581478550415,0.04292993008446392,30
push,0,-6,curvature,1.2929509664754497,0.04344406198922266,30
push,0,-5,curvature,1.2862875126933682,0.041846057130951846,30
push,0,-4,curvature,1.2720867919937195,0.04376853287958416,30
push,0,-3,curvature,1.2751626561267235,0.042144150694386845,30
push,0,-2,curvature,1.300768471455247,0.04242624595445849,30
push,0,-1,curvature,1.3454121406274766,0.04331133646264052,30
push,0,0,curvature,1.3894601589639963,0.0416733714478259,30
push,0,1,curvature,1.404911308568924,0.04427029256185288,30
push,0,2,curvature,1.3868930599754887,0.043620460003645126,30
push,0,3,curvature,1.3385111066768216,0.039558485546898316,30
push,0,4,curvature,1.2960918769818381,0.03943386750081599,30
push,0,5,curvature,1.2936458522215557,0.04630143662253788,30
push,0,6,curvature,1.2510976483685994,0.046916539365778685,30
push,0,7,curvature,1.1998375958431062,0.03941962458710138,30
push,0,8,curvature,1.1887273416050737,0.03587097449119756,30
push,0,-8,tortuosity,1.8207479972272296,0.07109354029749936,30
push,0,-7,tortuosity,1.8045811171949822,0.0709043864434776,30
push,0,-6,tortuosity,1.7818903405406625,0.06964629143561477,30
push,0,-5,tortuosity,1.7620229427370855,0.06738617137145965,30
push,0,-4,tortuosity,1.742608218303275,0.06417491395247495,30
push,0,-3,tortuosity,1.7297767439697422,0.060537666178339854,30
push,0,-2,tortuosity,1.726968086277427,0.057460166273238564,30
push,0,-1,tortuosity,1.7279031081166705,0.05369733633032881,30
push,0,0,tortuosity,1.741114300953396,0.05100277335240367,30
push,0,1,tortuosity,1.764496251437261,0.054178533721693845,30
push,0,2,tortuosity,1.7817162098911536,0.05804078573988665,30
push,0,3,tortuosity,1.7644948110811927,0.053262302221863775,30
push,0,4,tortuosity,1.7245399187594208,0.04395156793444083,30
push,0,5,tortuosity,1.6829146535790542,0.037746336328158825,30
push,0,6,tortuosity,1.6579052526918436,0.0399632380118895,30
push,0,7,tortuosity,1.6427940431319905,0.04419861817995419,30
push,0,8,tortuosity,1.6192601874913832,0.04422572130217576,30
push,0,-8,pr,1.4782769481341045,0.048875569082343376,30
push,0,-7,pr,1.4613929708798727,0.046455023241089986,30
push,0,-6,pr,1.448185181617737,0.0449366790138585,30
push,0,-5,pr,1.4407108743985495,0.04529158602176474,30
push,0,-4,pr,1.4239609440167744,0.042044900822429204,30
