task,layer,n_pcs_90,n_pcs_95,n_pcs_99,evr_top1,evr_top10,n_total
push,0,17,31,-1,0.2556036412715912,0.8349643349647522,6752
push,1,12,27,-1,0.5984134078025818,0.8884427547454834,6752
push,2,2,8,47,0.8606751561164856,0.959004819393158,6752
push,3,3,10,59,0.8582909107208252,0.9517819285392761,6752
push,4,3,9,-1,0.8120944499969482,0.955221951007843,6752
push,5,4,8,-1,0.8087788820266724,0.9589276313781738,6752
push,6,6,13,-1,0.7239178419113159,0.9386987090110779,6752
push,7,8,18,-1,0.7075700163841248,0.9237971305847168,6752
push,8,9,23,-1,0.7120247483253479,0.9130458831787109,6752
push,9,17,38,-1,0.4996751844882965,0.851152777671814,6752
push,10,18,41,-1,0.49910154938697815,0.8459807634353638,6752
push,11,19,43,-1,0.49693283438682556,0.8366796970367432,6752
push,12,22,46,-1,0.4170222282409668,0.8212599754333496,6752
push,13,21,46,-1,0.41388627886772156,0.8208833336830139,6752
push,14,18,39,-1,0.4318585991859436,0.8376229405403137,6752
push,15,15,33,-1,0.44019871950149536,0.857027530670166,6752
push,16,15,32,-1,0.40411004424095154,0.8586715459823608,6752
push,17,14,29,-1,0.409855455160141,0.8661234974861145,6752
push,18,14,28,-1,0.42301034927368164,0.8719064593315125,6752
push,19,12,25,-1,0.4127650856971741,0.8846182823181152,6752
push,20,12,24,-1,0.42702069878578186,0.8889263272285461,6752
push,21,13,26,-1,0.3948126435279846,0.8776039481163025,6752
push,22,15,28,-1,0.32619768381118774,0.854017436504364,6752
push,23,15,28,-1,0.28490349650382996,0.8443125486373901,6752
strike,0,13,24,-1,0.41736847162246704,0.8685587644577026,5400
strike,1,4,11,46,0.8319658637046814,0.9485616683959961,5400
strike,2,1,2,21,0.9431595206260681,0.9828025102615356,5400
strike,3,1,2,27,0.9396774172782898,0.9794920086860657,5400
strike,4,1,2,26,0.930210292339325,0.981333315372467,5400
strike,5,1,3,24,0.9224297404289246,0.9820401668548584,5400
strike,6,3,7,35,0.8426077961921692,0.9702267646789551,5400
strike,7,4,9,55,0.8339608907699585,0.9580025672912598,5400
strike,8,4,11,-1,0.8342752456665039,0.9472736716270447,5400
strike,9,13,29,-1,0.6746776700019836,0.8832220435142517,5400
strike,10,13,31,-1,0.6681617498397827,0.8802289962768555,5400
strike,11,14,32,-1,0.6678871512413025,0.8748744130134583,5400
strike,12,17,37,-1,0.5811919569969177,0.8519523739814758,5400
strike,13,17,37,-1,0.6066059470176697,0.8569732308387756,5400
strike,14,14,31,-1,0.6350216269493103,0.8736798167228699,5400
strike,15,12,26,-1,0.6540268063545227,0.889735221862793,5400
strike,16,12,26,-1,0.6427663564682007,0.890943706035614,5400
strike,17,11,23,-1,0.6405802965164185,0.8965513706207275,5400
strike,18,10,21,-1,0.6502877473831177,0.9030367136001587,5400
strike,19,9,19,-1,0.6381628513336182,0.9126734137535095,5400
strike,20,9,18,-1,0.632245659828186,0.9162858128547668,5400
strike,21,10,19,-1,0.5805608034133911,0.9088695645332336,5400
strike,22,10,20,-1,0.5142266154289246,0.9000763893127441,5400
strike,23,10,18,-1,0.4500948190689087,0.906198263168335,5400
reach,0,17,23,42,0.19462044537067413,0.7939746975898743,7050
reach,1,12,21,48,0.6180742383003235,0.8795300126075745,7050
reach,2,3,9,41,0.7952843308448792,0.9534051418304443,7050
reach,3,4,11,45,0.8012608885765076,0.946710467338562,7050
reach,4,3,9,59,0.7887342572212219,0.9534923434257507,7050
reach,5,3,8,56,0.8114703893661499,0.9571945071220398,7050
reach,6,7,15,-1,0.711773693561554,0.9330301880836487,7050
reach,7,10,23,-1,0.6788043975830078,0.9032683968544006,7050
reach,8,12,29,-1,0.6604212522506714,0.8875544667243958,7050
reach,9,24,42,-1,0.42072930932044983,0.7883854508399963,7050
reach,10,26,46,-1,0.42387282848358154,0.7679743766784668,7050
reach,11,27,49,-1,0.3956845998764038,0.766832709312439,7050
reach,12,26,46,-1,0.3035043478012085,0.7720702886581421,7050
reach,13,26,47,-1,0.3349030017852783,0.7773497700691223,7050
reach,14,25,45,-1,0.34313035011291504,0.7849031090736389,7050
reach,15,21,40,-1,0.4163805842399597,0.8243719935417175,7050
reach,16,20,40,-1,0.4036200940608978,0.8269741535186768,7050
reach,17,20,38,-1,0.3828718066215515,0.8282603621482849,7050
reach,18,19,37,-1,0.39592620730400085,0.8331449627876282,7050
reach,19,18,33,-1,0.3707863688468933,0.8443683981895447,7050
reach,20,16,31,-1,0.339775025844574,0.8533312678337097,7050
reach,21,16,31,-1,0.3018500506877899,0.8555834889411926,7050
reach,22,15,28,-1,0.30047082901000977,0.8662868738174438,7050
reach,23,11,21,-1,0.3191394805908203,0.8958635330200195,7050
drawer,0,5,9,25,0.6282713413238525,0.9585313200950623,8400
drawer,1,6,12,43,0.5784453749656677,0.9403671622276306,8400
drawer,2,2,3,22,0.8775555491447449,0.9799315333366394,8400
drawer,3,2,4,26,0.8576325178146362,0.977869987487793,8400
drawer,4,4,7,56,0.7438045740127563,0.9608445763587952,8400
drawer,5,4,9,-1,0.7094149589538574,0.9574924111366272,8400
drawer,6,5,12,-1,0.7080163359642029,0.9440533518791199,8400
drawer,7,6,16,-1,0.7037870287895203,0.93337482213974,8400
drawer,8,7,21,-1,0.7048306465148926,0.9208571314811707,8400
drawer,9,18,45,-1,0.6072475910186768,0.8622239828109741,8400
drawer,10,19,45,-1,0.5913885235786438,0.8546595573425293,8400
drawer,11,17,45,-1,0.5889136791229248,0.861143171787262,8400
drawer,12,16,45,-1,0.5809438824653625,0.8681793212890625,8400
drawer,13,15,42,-1,0.5662815570831299,0.8736470341682434,8400
drawer,14,13,35,-1,0.5708664059638977,0.8839147686958313,8400
drawer,15,13,35,-1,0.5423389673233032,0.8832470774650574,8400
drawer,16,13,33,-1,0.5382992625236511,0.8819293975830078,8400
drawer,17,12,30,-1,0.5657458901405334,0.887866735458374,8400
drawer,18,12,29,-1,0.5704560279846191,0.8885303735733032,8400
drawer,19,11,27,-1,0.5767567753791809,0.8929980993270874,8400
drawer,20,11,26,-1,0.5644150376319885,0.8952979445457458,8400
drawer,21,11,26,-1,0.5442335605621338,0.8956206440925598,8400
drawer,22,13,29,-1,0.5094660520553589,0.8849923014640808,8400
drawer,23,13,30,-1,0.5176360011100769,0.8797290921211243,8400
peg_insert,0,15,25,56,0.3616822063922882,0.837256669998169,3870
peg_insert,1,14,24,-1,0.41696444153785706,0.8641460537910461,3870
peg_insert,2,4,10,45,0.7210747599601746,0.9506332874298096,3870
peg_insert,3,6,15,64,0.6780946254730225,0.9316729307174683,3870
peg_insert,4,12,28,-1,0.5579903721809387,0.8929023742675781,3870
peg_insert,5,14,31,-1,0.454081654548645,0.8742635846138,3870
peg_insert,6,17,36,-1,0.3613128960132599,0.8582724928855896,3870
peg_insert,7,20,43,-1,0.3399256765842438,0.8385291695594788,3870
peg_insert,8,24,51,-1,0.2886947989463806,0.8150826692581177,3870
peg_insert,9,31,58,-1,0.2753664553165436,0.768794059753418,3870
peg_insert,10,32,62,-1,0.2699180245399475,0.7654710412025452,3870
peg_insert,11,30,61,-1,0.2742043137550354,0.7751359939575195,3870
peg_insert,12,27,55,-1,0.3764658570289612,0.7984055876731873,3870
peg_insert,13,25,53,-1,0.35155314207077026,0.8037081956863403,3870
peg_insert,14,23,50,-1,0.3390292227268219,0.8050669431686401,3870
peg_insert,15,24,50,-1,0.3262619972229004,0.8041790723800659,3870
peg_insert,16,24,50,-1,0.3099476397037506,0.8013743162155151,3870
peg_insert,17,22,45,-1,0.2846187949180603,0.8138352036476135,3870
peg_insert,18,21,43,-1,0.2772543430328369,0.8230642676353455,3870
peg_insert,19,19,40,-1,0.26971501111984253,0.8326684236526489,3870
peg_insert,20,19,39,-1,0.2863556742668152,0.8342087268829346,3870
peg_insert,21,18,37,-1,0.3097885251045227,0.8361837267875671,3870
peg_insert,22,19,36,-1,0.3072924017906189,0.8327779769897461,3870
peg_insert,23,18,35,-1,0.30757126212120056,0.8352273106575012,3870
nut_thread,0,16,24,53,0.2717915177345276,0.8264204263687134,3870
nut_thread,1,18,29,-1,0.31357014179229736,0.8083868622779846,3870
nut_thread,2,9,18,59,0.46271613240242004,0.91441810131073,3870
nut_thread,3,13,25,-1,0.3995693027973175,0.881994366645813,3870
nut_thread,4,26,52,-1,0.3158503770828247,0.8157615065574646,3870
nut_thread,5,26,54,-1,0.2965248227119446,0.80528724193573,3870
nut_thread,6,30,59,-1,0.28702476620674133,0.781451404094696,3870
nut_thread,7,35,-1,-1,0.2812504470348358,0.7540590763092041,3870
nut_thread,8,41,-1,-1,0.22790499031543732,0.699640691280365,3870
nut_thread,9,46,-1,-1,0.16032058000564575,0.6394115090370178,3870
nut_thread,10,47,-1,-1,0.18842464685440063,0.6478250026702881,3870
nut_thread,11,46,-1,-1,0.21473908424377441,0.6714972853660583,3870
nut_thread,12,44,-1,-1,0.20895035564899445,0.6877278089523315,3870
nut_thread,13,40,-1,-1,0.24334612488746643,0.7170155644416809,3870
nut_thread,14,38,-1,-1,0.24917154014110565,0.7228100299835205,3870
nut_thread,15,37,-1,-1,0.24357672035694122,0.7263033986091614,3870
nut_thread,16,34,-1,-1,0.2543826401233673,0.7530648708343506,3870
nut_thread,17,30,62,-1,0.2519519627094269,0.7668423056602478,3870
nut_thread,18,27,57,-1,0.2539582848548889,0.7873292565345764,3870
nut_thread,19,24,51,-1,0.24835291504859924,0.8093513250350952,3870
nut_thread,20,22,47,-1,0.2592819929122925,0.8201048374176025,3870
nut_thread,21,21,42,-1,0.27316731214523315,0.8326273560523987,3870
nut_thread,22,19,39,-1,0.27218326926231384,0.8371548056602478,3870
nut_thread,23,18,34,-1,0.2749634385108948,0.8428577780723572,3870
