task,layer,rsa_vel_tan,rsa_acc_tan,rsa_acc_tan_partial
push,0,0.18063496710805685,0.09102387297037158,0.06271420032533762
push,1,0.40793529742981754,0.2538886397688096,0.14465957793035267
push,2,0.379210694705089,0.3780695932368258,0.31513299509166925
push,3,0.37410638405878954,0.38070468290282683,0.3185733342000923
push,4,0.1575274980785383,0.2803148638197774,0.22119750095104085
push,5,0.1462591694231743,0.2626189904280945,0.20672014836509917
push,6,-0.1355977123376613,0.016265289367206986,0.04258430664314582
push,7,-0.054954423579037626,0.06609921338790883,0.06841016343110816
push,8,-0.12602592170770868,-0.03068261568407804,-0.01044015463909929
push,9,-0.0245130589137742,-0.014826597135475397,-0.024110983008460325
push,10,-0.03942452979950054,-0.030013255270252247,-0.03535485329295129
push,11,-0.16019857647027833,-0.1285161940028657,-0.10109864715006311
push,12,-0.09324174192044483,-0.07504630200143704,-0.058282438879400024
push,13,-0.06778197290150859,-0.05301034887847574,-0.030783694549693024
push,14,-0.09797794574962229,-0.053981593994666,-0.024797202719010016
push,15,-0.08188766544715538,-0.0069683931643195925,0.019748264500902148
push,16,-0.076224850443561,-0.0168287628245363,0.010137106324822483
push,17,-0.07247947815891179,0.0042186427774848064,0.041815559989388344
push,18,-0.06043160795028931,0.012877142754324486,0.043621121131112744
push,19,-0.0549471605964949,0.006214395818118983,0.041410050151312695
push,20,-0.05880776486820107,0.004218380519368532,0.03779525087050951
push,21,0.002800989066083928,0.02825696243176937,0.044500839076804195
push,22,0.07393869925575673,0.09653981213833637,0.09574980324114113
push,23,0.09938347323981774,0.10231268174726778,0.0935767373720668
strike,0,0.4891260315114022,0.4860049285047201,0.307167840177654
strike,1,0.5820027015312182,0.6854281178037486,0.486948526693971
strike,2,0.45802957507268194,0.6462223888597591,0.5004508366998364
strike,3,0.44152677560158626,0.6341307998375526,0.4943237956001592
strike,4,0.317534302920587,0.4745547020518325,0.3712694380342749
strike,5,0.3035555098856137,0.43034197985948214,0.32190717049466494
strike,6,-0.19684728528329448,-0.10387990419779787,0.026163847003051015
strike,7,-0.05804647208809737,0.03024182358204867,0.07826239614403539
strike,8,-0.14563291200227216,-0.09770183047753149,-0.012395299615787414
strike,9,-0.007546701107777031,0.0058453791864986285,-0.0005929254855190606
strike,10,0.004313198321595324,0.023623968785369476,0.00414161419388211
strike,11,-0.1217177081971693,-0.1101504602412996,-0.06927033847961162
strike,12,0.06967955497598032,0.07169922109574864,0.021103950051317884
strike,13,0.18297659441705946,0.17439216278879813,0.06939717816986184
strike,14,0.14821366718323978,0.15496722153340395,0.07664844503951403
strike,15,0.1993624826364169,0.22551172398953984,0.1370979214251605
strike,16,0.19412646193985603,0.22352612931985522,0.1489534600775726
strike,17,0.17738106849405386,0.1917356009809101,0.13564547619481832
strike,18,0.2161070561032978,0.2235039398843072,0.14135045875231167
strike,19,0.20928961721496953,0.2136823083333122,0.14020706907131722
strike,20,0.2016586940396992,0.19007928648786943,0.12216630343287678
strike,21,0.24205621704185426,0.23727622374663934,0.15437994107913988
strike,22,0.3644808633357426,0.34407984766799,0.20020353391976428
strike,23,0.33952805707614936,0.3197811140863329,0.18343434088169727
reach,0,0.25694478810914384,0.19593723654538062,0.048986777326035506
reach,1,0.6625698887780099,0.6614963361800815,0.2522781430557247
reach,2,0.6908298374318951,0.698314520411602,0.27593415149817224
reach,3,0.6954386728586227,0.7091310801349641,0.2900360954406129
reach,4,0.733703869171478,0.7441175562510524,0.28675492163386357
reach,5,0.7167809241003666,0.7285789205035847,0.28379014449444
reach,6,0.6422071441901189,0.6584982063245092,0.23264322912291094
reach,7,0.6812436550768439,0.6962960095968459,0.2510163007607122
reach,8,0.6609440220666605,0.6770844172709631,0.2520371490634943
reach,9,0.6463002627645393,0.6545007806105392,0.22470726596653284
reach,10,0.6822114786524238,0.6870976922670363,0.24756134973614896
reach,11,0.6472970590515803,0.6648745816740664,0.25218322578692887
reach,12,0.6866423144560506,0.7005199584682907,0.2671784511828075
reach,13,0.7210344273385596,0.7267917444442058,0.2825073498970143
reach,14,0.7231527496102356,0.7210292545793908,0.2706014469471287
reach,15,0.7573007996894051,0.7549635186746781,0.30152265070033335
reach,16,0.7553205447509457,0.7490081192264191,0.30029777199933966
reach,17,0.7387154242039237,0.7304022029440542,0.29642739044668837
reach,18,0.7475730707948626,0.7402392186380149,0.3000705646008894
reach,19,0.738602157257573,0.728594001743268,0.2890508571583179
reach,20,0.7321600245491577,0.7221824998201236,0.28513512703949195
reach,21,0.7365187818994394,0.7262909299832923,0.28586206666694625
reach,22,0.717695571336029,0.7057440751481184,0.27817775067912637
reach,23,0.6252987237624904,0.5860474307705701,0.20886891209845
drawer,0,0.10655012056836745,0.0741431013472231,0.02931289658996965
drawer,1,0.5926138766973558,0.5281701702534917,0.22246707344323194
drawer,2,0.45178478802042177,0.5330994242409796,0.3453474454234714
drawer,3,0.37374028443411406,0.4584864177869559,0.30876696936512277
drawer,4,-0.1928220458808325,-0.12044023264627562,-0.006787801939566667
drawer,5,-0.16898645969992301,-0.10032276940749081,-8.779948559890274e-05
drawer,6,-0.2626507591090372,-0.19498131610261973,-0.050399788225340025
drawer,7,-0.24183686598746001,-0.1742735324117618,-0.03629968801416706
drawer,8,-0.21263960462434092,-0.1417409859850061,-0.01848976226151099
drawer,9,0.010756625936589267,-0.041345450253673546,-0.05910144677154175
drawer,10,0.05538591154296287,0.0030692121522056543,-0.03370728374284131
drawer,11,0.06353771379542951,-0.007824696559528107,-0.04378861426354675
drawer,12,0.14217060357838351,0.05707042875093049,-0.017262955996377127
drawer,13,0.2744595359883697,0.19228088350948225,0.05515813902352728
drawer,14,0.26016168237069603,0.1948013944053387,0.08330255407946395
drawer,15,0.3703343930888034,0.3010052267642589,0.1277707901940218
drawer,16,0.38121112246580613,0.3228391485746567,0.1538428199492741
drawer,17,0.39110724875762276,0.32596911660927874,0.1517583486530196
drawer,18,0.4185397047567802,0.3588137537357415,0.18655315008330384
drawer,19,0.4365697153836514,0.3826275655392687,0.19852862211326255
drawer,20,0.4127235242461622,0.3718118324671718,0.20607360536222033
drawer,21,0.4244974165326162,0.3869825558383984,0.20869491552295452
drawer,22,0.48292401401832385,0.4389488391683192,0.22474096133434024
drawer,23,0.4678571628422725,0.4106295339359871,0.20056233797728634
peg_insert,0,0.00932333552005043,0.03200183172756415,0.02817051776449937
peg_insert,1,0.1058772375747019,0.15152457122930804,0.12724419461935815
peg_insert,2,0.11230450600417823,0.14522315834701355,0.11873805333127113
peg_insert,3,0.11076843413158245,0.14770735973676927,0.12174844781716022
peg_insert,4,0.06031427234628227,0.09563964813648287,0.08199029700489421
peg_insert,5,0.09249678480571252,0.12583546348320668,0.10538918470548082
peg_insert,6,0.1033053239450677,0.14857675918128835,0.12481448630274333
peg_insert,7,0.10585067760290244,0.15118300477770025,0.12795854928896172
peg_insert,8,0.12135883164656176,0.15097989848921076,0.12275575203560479
peg_insert,9,0.09455399103533971,0.12380589257690078,0.10475001058745555
peg_insert,10,0.07559023045680481,0.10975195446900315,0.09600108212672674
peg_insert,11,0.09616146083908826,0.12210695700528464,0.10236225835421421
peg_insert,12,0.10908560568422482,0.12530495431898525,0.10050328623676262
peg_insert,13,0.1362565838175605,0.1487015159458462,0.11445953122475458
peg_insert,14,0.14331981872789118,0.15016678879197373,0.11098529983091315
peg_insert,15,0.1616262660782909,0.1759475458532877,0.13129737305738676
peg_insert,16,0.1599327336031289,0.1757158873749469,0.13244807948258802
peg_insert,17,0.1654969543402972,0.17726538646218828,0.12905619841226698
peg_insert,18,0.17138576269251624,0.15286557935714118,0.10525768574607385
peg_insert,19,0.1688734970158375,0.1742662172405122,0.1265512470197487
peg_insert,20,0.17154347368858375,0.1458327672956925,0.09797696221342524
peg_insert,21,0.17506632109129694,0.15375254463896607,0.10567137438646763
peg_insert,22,0.1698756468121132,0.1549014765034438,0.10655568912964149
peg_insert,23,0.1794700111406225,0.15931097896471458,0.10995136807180333
