,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.779944,0.29483786,0.22869581,0.27163413,0.2861751,0.27267298,0.28353292,0.28513232,0.29968178,0.3119956,0.3213365,0.32207194,0.3207993,0.35459283,0.37467852,0.40147954,0.3959496,0.41078293,0.40601355,0.38608384,0.36999997,0.36057168,0.33773583
L01,0.779944,1.0,0.69384736,0.48149627,0.55329067,0.5434124,0.5269855,0.53855616,0.51934576,0.4603113,0.487873,0.5324543,0.52759117,0.527289,0.58239156,0.6048744,0.62530804,0.6152894,0.62306666,0.5923876,0.5539063,0.53101796,0.5092168,0.47359082
L02,0.29483786,0.69384736,1.0,0.8762479,0.88114774,0.83218217,0.8051459,0.7984873,0.748191,0.5887949,0.5857877,0.6247427,0.56689835,0.55181557,0.60564196,0.6274296,0.61730003,0.59938717,0.5945609,0.5515801,0.5105205,0.47774518,0.4495199,0.4121357
L03,0.22869581,0.48149627,0.8762479,1.0,0.9586357,0.90284026,0.88319355,0.8667209,0.8087224,0.6338426,0.59704757,0.60074526,0.518242,0.4869734,0.53240556,0.5564762,0.5475237,0.53053766,0.5330757,0.50248945,0.46452212,0.42522746,0.39301273,0.35531905
L04,0.27163413,0.55329067,0.88114774,0.9586357,1.0,0.9565424,0.9301854,0.9202282,0.8658633,0.686336,0.6659,0.68149334,0.5975667,0.57810396,0.6203996,0.6405008,0.6304242,0.6126747,0.6129888,0.58131385,0.5458514,0.5120943,0.4800989,0.43974653
L05,0.2861751,0.5434124,0.83218217,0.90284026,0.9565424,1.0,0.9714482,0.94290364,0.8828839,0.702484,0.6873862,0.70269567,0.6164748,0.6001765,0.63820827,0.6549189,0.64771056,0.6306529,0.6279075,0.59975564,0.56325597,0.52871686,0.49145782,0.4473905
L06,0.27267298,0.5269855,0.8051459,0.88319355,0.9301854,0.9714482,1.0,0.97956944,0.9279105,0.7438427,0.73445874,0.7492255,0.65658927,0.64409614,0.6830308,0.7004867,0.69289804,0.67627394,0.67020124,0.6441917,0.60540944,0.5685889,0.5262747,0.47735596
L07,0.28353292,0.53855616,0.7984873,0.8667209,0.9202282,0.94290364,0.97956944,1.0,0.9627837,0.7849216,0.78561246,0.80322945,0.7036176,0.69943666,0.73553264,0.75200945,0.7422533,0.7267417,0.719114,0.6964327,0.660602,0.6257001,0.5835682,0.53198475
L08,0.28513232,0.51934576,0.748191,0.8087224,0.8658633,0.8828839,0.9279105,0.9627837,1.0,0.8380423,0.8422968,0.85420746,0.7440403,0.7423059,0.77052575,0.7844179,0.7728627,0.76112145,0.75264794,0.7362924,0.7046133,0.6742933,0.6380889,0.58873993
L09,0.29968178,0.4603113,0.5887949,0.6338426,0.686336,0.702484,0.7438427,0.7849216,0.8380423,1.0,0.9717039,0.9362601,0.78169346,0.77494115,0.7850813,0.7823907,0.76456994,0.7621356,0.7388946,0.72635645,0.7100789,0.6744421,0.64392453,0.60028005
L10,0.3119956,0.487873,0.5857877,0.59704757,0.6659,0.6873862,0.73445874,0.78561246,0.8422968,0.9717039,1.0,0.9791762,0.8232368,0.82384485,0.83404756,0.82709306,0.8083591,0.8040077,0.7766556,0.7636732,0.7469719,0.71446425,0.6813535,0.6339464
L11,0.3213365,0.5324543,0.6247427,0.60074526,0.68149334,0.70269567,0.7492255,0.80322945,0.85420746,0.9362601,0.9791762,1.0,0.8549537,0.86255085,0.8759018,0.865497,0.8450608,0.836702,0.805398,0.7853198,0.7644619,0.7328741,0.6977072,0.649269
L12,0.32207194,0.52759117,0.56689835,0.518242,0.5975667,0.6164748,0.65658927,0.7036176,0.7440403,0.78169346,0.8232368,0.8549537,1.0,0.91282386,0.91462666,0.8932712,0.86316425,0.83952993,0.80014086,0.7678867,0.73597604,0.70506513,0.6729367,0.6308617
L13,0.3207993,0.527289,0.55181557,0.4869734,0.57810396,0.6001765,0.64409614,0.69943666,0.7423059,0.77494115,0.82384485,0.86255085,0.91282386,1.0,0.97587156,0.94471323,0.9238841,0.9060634,0.86351657,0.84510404,0.8186368,0.78603375,0.7496165,0.70316225
L14,0.35459283,0.58239156,0.60564196,0.53240556,0.6203996,0.63820827,0.6830308,0.73553264,0.77052575,0.7850813,0.83404756,0.8759018,0.91462666,0.97587156,1.0,0.9841258,0.9663548,0.94984394,0.9131586,0.88153154,0.84854966,0.8123831,0.7739606,0.72473794
L15,0.37467852,0.6048744,0.6274296,0.5564762,0.6405008,0.6549189,0.7004867,0.75200945,0.7844179,0.7823907,0.82709306,0.865497,0.8932712,0.94471323,0.9841258,1.0,0.98826027,0.97393036,0.94736475,0.91733867,0.8844917,0.84884197,0.81236935,0.76298463
L16,0.40147954,0.62530804,0.61730003,0.5475237,0.6304242,0.64771056,0.69289804,0.7422533,0.7728627,0.76456994,0.8083591,0.8450608,0.86316425,0.9238841,0.9663548,0.98826027,1.0,0.9892445,0.9700097,0.9435318,0.9098971,0.87390846,0.8374976,0.78623784
L17,0.3959496,0.6152894,0.59938717,0.53053766,0.6126747,0.6306529,0.67627394,0.7267417,0.76112145,0.7621356,0.8040077,0.836702,0.83952993,0.9060634,0.94984394,0.97393036,0.9892445,1.0,0.9863135,0.96315837,0.9350249,0.90289307,0.86917865,0.8206796
L18,0.41078293,0.62306666,0.5945609,0.5330757,0.6129888,0.6279075,0.67020124,0.719114,0.75264794,0.7388946,0.7766556,0.805398,0.80014086,0.86351657,0.9131586,0.94736475,0.9700097,0.9863135,1.0,0.9835926,0.9573675,0.9327682,0.90599465,0.85880077
L19,0.40601355,0.5923876,0.5515801,0.50248945,0.58131385,0.59975564,0.6441917,0.6964327,0.7362924,0.72635645,0.7636732,0.7853198,0.7678867,0.84510404,0.88153154,0.91733867,0.9435318,0.96315837,0.9835926,1.0,0.9867504,0.96643484,0.93720603,0.8898805
L20,0.38608384,0.5539063,0.5105205,0.46452212,0.5458514,0.56325597,0.60540944,0.660602,0.7046133,0.7100789,0.7469719,0.7644619,0.73597604,0.8186368,0.84854966,0.8844917,0.9098971,0.9350249,0.9573675,0.9867504,1.0,0.98840815,0.9650526,0.92609614
L21,0.36999997,0.53101796,0.47774518,0.42522746,0.5120943,0.52871686,0.5685889,0.6257001,0.6742933,0.6744421,0.71446425,0.7328741,0.70506513,0.78603375,0.8123831,0.84884197,0.87390846,0.90289307,0.9327682,0.96643484,0.98840815,1.0,0.9874552,0.957312
L22,0.36057168,0.5092168,0.4495199,0.39301273,0.4800989,0.49145782,0.5262747,0.5835682,0.6380889,0.64392453,0.6813535,0.6977072,0.6729367,0.7496165,0.7739606,0.81236935,0.8374976,0.86917865,0.90599465,0.93720603,0.9650526,0.9874552,1.0,0.98594975
L23,0.33773583,0.47359082,0.4121357,0.35531905,0.43974653,0.4473905,0.47735596,0.53198475,0.58873993,0.60028005,0.6339464,0.649269,0.6308617,0.70316225,0.72473794,0.76298463,0.78623784,0.8206796,0.85880077,0.8898805,0.92609614,0.957312,0.98594975,1.0
