,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.43752387,0.13422075,0.1178422,0.141965,0.17112853,0.20433727,0.23630793,0.2688684,0.3586556,0.37330723,0.37547585,0.2813369,0.28792584,0.3114058,0.31838667,0.34666425,0.35757333,0.36663297,0.37905347,0.38521096,0.3942369,0.40429685,0.38141787
L01,0.43752387,1.0,0.74965405,0.66762024,0.6753328,0.67450786,0.6698762,0.6825371,0.67099416,0.6116239,0.6010345,0.60766476,0.50556135,0.5097322,0.54424363,0.54861253,0.5509116,0.5300288,0.5290713,0.5211866,0.5038376,0.48896018,0.46789485,0.4313746
L02,0.13422075,0.74965405,1.0,0.97076994,0.9583044,0.9345938,0.88825387,0.8785949,0.81553495,0.62729466,0.6020626,0.608125,0.4903206,0.48356754,0.51344764,0.51106745,0.49643233,0.46802536,0.4591536,0.44211566,0.41551045,0.3889763,0.35656777,0.32103106
L03,0.1178422,0.66762024,0.97076994,1.0,0.98880744,0.9642826,0.92165345,0.91081625,0.8408013,0.62424034,0.60010636,0.60393,0.47838768,0.46195486,0.490455,0.48950276,0.47772244,0.45453963,0.44658953,0.42847613,0.3984154,0.36452234,0.32472843,0.2888507
L04,0.141965,0.6753328,0.9583044,0.98880744,1.0,0.987006,0.95393217,0.94504154,0.8848322,0.6699207,0.6543304,0.6631238,0.5623182,0.5409895,0.56749,0.5671024,0.55358905,0.5324935,0.5221837,0.4957478,0.4586149,0.41910574,0.3761304,0.3364653
L05,0.17112853,0.67450786,0.9345938,0.9642826,0.987006,1.0,0.9796486,0.9694322,0.9150555,0.7134419,0.7018706,0.7113615,0.6167815,0.59362787,0.6204822,0.6221787,0.6118753,0.5925154,0.5833579,0.557029,0.5189898,0.47791523,0.43270674,0.39039397
L06,0.20433727,0.6698762,0.88825387,0.92165345,0.95393217,0.9796486,1.0,0.9936824,0.94436103,0.76962554,0.7621457,0.7729683,0.6729134,0.65153617,0.6830523,0.69097924,0.68813914,0.6681024,0.66357976,0.64035106,0.603798,0.55884844,0.5109943,0.46646324
L07,0.23630793,0.6825371,0.8785949,0.91081625,0.94504154,0.9694322,0.9936824,1.0,0.9595251,0.7973315,0.7931671,0.8051605,0.6954382,0.67744666,0.7102805,0.7184042,0.7171974,0.69864094,0.69298744,0.6720649,0.63743496,0.59401375,0.5465201,0.5011441
L08,0.2688684,0.67099416,0.81553495,0.8408013,0.8848322,0.9150555,0.94436103,0.9595251,1.0,0.8335004,0.836726,0.8455987,0.756917,0.73817265,0.7654159,0.76795024,0.76041675,0.7446984,0.73659325,0.71206206,0.67790824,0.6374717,0.5907849,0.5461187
L09,0.3586556,0.6116239,0.62729466,0.62424034,0.6699207,0.7134419,0.76962554,0.7973315,0.8335004,1.0,0.98637754,0.97033626,0.7808431,0.7806136,0.80166066,0.8041514,0.8093512,0.7934534,0.7881114,0.7785901,0.7641214,0.7375368,0.70858294,0.67161334
L10,0.37330723,0.6010345,0.6020626,0.60010636,0.6543304,0.7018706,0.7621457,0.7931671,0.836726,0.98637754,1.0,0.9917584,0.82458025,0.8242297,0.8444985,0.84668356,0.84959257,0.83453864,0.8261075,0.81343395,0.79675215,0.76942796,0.73994535,0.70260555
L11,0.37547585,0.60766476,0.608125,0.60393,0.6631238,0.7113615,0.7729683,0.8051605,0.8455987,0.97033626,0.9917584,1.0,0.8463636,0.845259,0.8667685,0.8690131,0.8721498,0.8542488,0.844369,0.82954425,0.80969447,0.7809724,0.7509404,0.71281266
L12,0.2813369,0.50556135,0.4903206,0.47838768,0.5623182,0.6167815,0.6729134,0.6954382,0.756917,0.7808431,0.82458025,0.8463636,1.0,0.9720128,0.96567404,0.9544701,0.9317272,0.91366196,0.8865479,0.83144104,0.7794902,0.7357796,0.69185936,0.64447135
L13,0.28792584,0.5097322,0.48356754,0.46195486,0.5409895,0.59362787,0.65153617,0.67744666,0.73817265,0.7806136,0.8242297,0.845259,0.9720128,1.0,0.9901566,0.97671944,0.9589442,0.9421748,0.91715896,0.8736209,0.8308934,0.79235846,0.74803364,0.70142126
L14,0.3114058,0.54424363,0.51344764,0.490455,0.56749,0.6204822,0.6830523,0.7102805,0.7654159,0.80166066,0.8444985,0.8667685,0.96567404,0.9901566,1.0,0.9938842,0.9816276,0.9632674,0.9430434,0.90529305,0.86462927,0.82540804,0.78172165,0.73333615
L15,0.31838667,0.54861253,0.51106745,0.48950276,0.5671024,0.6221787,0.69097924,0.7184042,0.76795024,0.8041514,0.84668356,0.8690131,0.9544701,0.97671944,0.9938842,1.0,0.99191815,0.9763199,0.96025425,0.92731935,0.8887666,0.84898335,0.80678314,0.7582673
L16,0.34666425,0.5509116,0.49643233,0.47772244,0.55358905,0.6118753,0.68813914,0.7171974,0.76041675,0.8093512,0.84959257,0.8721498,0.9317272,0.9589442,0.9816276,0.99191815,1.0,0.98695934,0.9784687,0.9542588,0.9193517,0.88167363,0.83948153,0.7909942
L17,0.35757333,0.5300288,0.46802536,0.45453963,0.5324935,0.5925154,0.6681024,0.69864094,0.7446984,0.7934534,0.83453864,0.8542488,0.91366196,0.9421748,0.9632674,0.9763199,0.98695934,1.0,0.9926953,0.9706672,0.9376898,0.901619,0.8614382,0.8105427
L18,0.36663297,0.5290713,0.4591536,0.44658953,0.5221837,0.5833579,0.66357976,0.69298744,0.73659325,0.7881114,0.8261075,0.844369,0.8865479,0.91715896,0.9430434,0.96025425,0.9784687,0.9926953,1.0,0.9857345,0.95625335,0.92240834,0.8858423,0.8377566
L19,0.37905347,0.5211866,0.44211566,0.42847613,0.4957478,0.557029,0.64035106,0.6720649,0.71206206,0.7785901,0.81343395,0.82954425,0.83144104,0.8736209,0.90529305,0.92731935,0.9542588,0.9706672,0.9857345,1.0,0.9887784,0.9660185,0.93519825,0.8956788
L20,0.38521096,0.5038376,0.41551045,0.3984154,0.4586149,0.5189898,0.603798,0.63743496,0.67790824,0.7641214,0.79675215,0.80969447,0.7794902,0.8308934,0.86462927,0.8887666,0.9193517,0.9376898,0.95625335,0.9887784,1.0,0.989897,0.96826816,0.93803936
L21,0.3942369,0.48896018,0.3889763,0.36452234,0.41910574,0.47791523,0.55884844,0.59401375,0.6374717,0.7375368,0.76942796,0.7809724,0.7357796,0.79235846,0.82540804,0.84898335,0.88167363,0.901619,0.92240834,0.9660185,0.989897,1.0,0.98939985,0.9680588
L22,0.40429685,0.46789485,0.35656777,0.32472843,0.3761304,0.43270674,0.5109943,0.5465201,0.5907849,0.70858294,0.73994535,0.7509404,0.69185936,0.74803364,0.78172165,0.80678314,0.83948153,0.8614382,0.8858423,0.93519825,0.96826816,0.98939985,1.0,0.98966855
