,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.41393197,0.2963377,0.29595205,0.32450074,0.33025852,0.3390748,0.34508368,0.35098866,0.37137747,0.37443012,0.37496373,0.39061663,0.41908303,0.42468756,0.43404222,0.43794674,0.45101488,0.45655498,0.4694964,0.48338068,0.5034808,0.5125462,0.49804053
L01,0.41393197,1.0,0.783887,0.76931256,0.69619673,0.66958517,0.68971795,0.69925004,0.69975764,0.6980101,0.70093524,0.7029446,0.6874024,0.6902508,0.6861504,0.68457407,0.6869571,0.67040974,0.66067517,0.65064144,0.6417434,0.6210802,0.5912379,0.52740324
L02,0.2963377,0.783887,1.0,0.99430966,0.9214088,0.8910922,0.90426373,0.9070897,0.90204966,0.8842385,0.88244563,0.88842374,0.861991,0.8501058,0.84068096,0.8405674,0.836347,0.8006701,0.7834564,0.75697184,0.737165,0.6981041,0.64726734,0.5619631
L03,0.29595205,0.76931256,0.99430966,1.0,0.93893445,0.9116887,0.9248177,0.92787266,0.9233679,0.90596473,0.905166,0.91083086,0.8841632,0.8711649,0.8623595,0.8611262,0.8574872,0.82183725,0.8055108,0.77899796,0.7586668,0.71841604,0.66495484,0.5776204
L04,0.32450074,0.69619673,0.9214088,0.93893445,1.0,0.9960411,0.9945628,0.992574,0.9876181,0.9653024,0.96667415,0.969002,0.9491526,0.9408835,0.93192005,0.9295622,0.92248684,0.8925949,0.8839337,0.855229,0.8369495,0.7967525,0.73638463,0.64925784
L05,0.33025852,0.66958517,0.8910922,0.9116887,0.9960411,1.0,0.99666387,0.9943961,0.9904298,0.9680724,0.9700973,0.9720605,0.95459574,0.94871885,0.9409492,0.9382186,0.9305354,0.9043238,0.89792985,0.86981523,0.8525404,0.81361187,0.7519349,0.665488
L06,0.3390748,0.68971795,0.90426373,0.9248177,0.9945628,0.99666387,1.0,0.9993341,0.99690026,0.9786361,0.9796572,0.9813588,0.9633755,0.9579272,0.9504632,0.9480215,0.94107324,0.9164402,0.9087166,0.88218474,0.8650669,0.8259862,0.7647841,0.67693615
L07,0.34508368,0.69925004,0.9070897,0.92787266,0.992574,0.9943961,0.9993341,1.0,0.9984187,0.9808133,0.9826349,0.9845259,0.96740496,0.96253186,0.95561683,0.9530503,0.9465498,0.92252046,0.9149489,0.8890167,0.8722489,0.83384275,0.77318615,0.68502843
L08,0.35098866,0.69975764,0.90204966,0.9233679,0.9876181,0.9904298,0.99690026,0.9984187,1.0,0.9826399,0.9845348,0.98563266,0.9688003,0.96511924,0.95859945,0.95573974,0.9494832,0.92674184,0.91956466,0.8946371,0.8782764,0.84110475,0.78094125,0.69326353
L09,0.37137747,0.6980101,0.8842385,0.90596473,0.9653024,0.9680724,0.9786361,0.9808133,0.9826399,1.0,0.99697703,0.9938348,0.98105,0.9761477,0.9726621,0.9682019,0.9649032,0.95283675,0.94497365,0.9279174,0.91363305,0.8792522,0.8239049,0.73740816
