task,layer,r2_self,r2_persist,r2_self_delta,ee_pos_next,ee_vel_next,ee_acc_next,obj_vel_next
push,0,0.9165080670230954,0.7041168237652995,0.2123912432577959,0.4513817608763825,0.22929147618517642,-0.0033285729636802763,-0.0972993506336659
push,1,0.7964311083638411,0.6030032956600346,0.1934278127038065,0.7906385497772779,0.6055773900943003,0.03287952170196817,0.17361192232012446
push,2,0.634690874505951,0.4170144412592024,0.21767643324674857,0.8331034117502426,0.7274959773163482,0.07096757202149129,0.26437337406246786
push,3,0.6501977011931062,0.4898892345902326,0.16030846660287357,0.878995279798023,0.7476314940300735,0.07928774791023074,0.3067716746978586
push,4,0.5283760548978189,0.3399393569784196,0.18843669791939932,0.9007166294799767,0.8501531184498576,0.09785067651564283,0.3948530450147748
push,5,0.5907626676492628,0.44592496059527764,0.14483770705398513,0.9198125988795842,0.8834033177996308,0.12787528320714703,0.42915840217608325
push,6,0.5947285108203502,0.4248944258262327,0.16983408499411745,0.9358268414643981,0.8975616480151204,0.13334094617197034,0.5260553494114395
push,7,0.6509798761901948,0.4910357404614444,0.15994413572875044,0.9497140650271129,0.891747054474529,0.109542348107032,0.5790437285248418
push,8,0.609306180650131,0.3969575010424785,0.21234867960765247,0.9522901708864994,0.8751104418310394,0.10858025551996997,0.5890490476502218
push,9,0.6812339759416599,0.5263566994495854,0.1548772764920745,0.9320737389231498,0.8885660272983581,0.1182023876502335,0.6773528272799867
push,10,0.6653025270986344,0.49308699784836507,0.17221552925026928,0.952684002458573,0.8920707785855725,0.12262202246115783,0.6956285252737263
push,11,0.6458970497609046,0.4567675166643882,0.18912953309651637,0.9623515213190074,0.8982422035829977,0.11016447651799499,0.6503750204818401
push,12,0.6517616329057921,0.4682999751256759,0.18346165778011625,0.9506938813326814,0.893254971082085,0.1139578615308422,0.6473596028911334
push,13,0.6477198814902381,0.4746818536843592,0.17303802780587885,0.96344926219448,0.8905306417961818,0.11921011706046203,0.7086274393061298
push,14,0.6364275933426607,0.4705670163071791,0.16586057703548163,0.9724471141405325,0.8906603592804332,0.12883928570531078,0.7251101836402276
push,15,0.6278157411690426,0.4691413100064208,0.1586744311626218,0.9731750487904435,0.9041252801321008,0.14759581898345098,0.7209803576164683
push,16,0.6118960076391415,0.45182871044016004,0.1600672971989815,0.9761875494232551,0.9140200515990691,0.14754907642227832,0.6945347093843524
push,17,0.6184634503882886,0.4739887906438045,0.14447465974448415,0.9757718615935426,0.9231690307032125,0.16344486443501272,0.6815167773874762
push,18,0.6173854171931008,0.48212309248714136,0.13526232470595945,0.9771668806466869,0.9218732370136743,0.1516182928068628,0.6788527861933105
push,19,0.6076241143783156,0.47188613905874965,0.135737975319566,0.9754684179116668,0.9246265352271438,0.16176007153923877,0.6630044988680339
push,20,0.6287804792568519,0.5026918861650822,0.12608859309176967,0.973603340487266,0.9274236270795027,0.14482805623220596,0.6703823619573877
push,21,0.6543743741868142,0.5433349039121123,0.11103947027470196,0.9753830930662714,0.9261349811086504,0.12025031495941907,0.7082021307009069
push,22,0.6974996943246798,0.6140148899869512,0.08348480433772865,0.9771506028336207,0.9256575457609253,0.061974504295138955,0.7418627222801548
push,23,0.7273828507670912,0.6623612544608495,0.06502159630624171,0.9740929013653388,0.9156545201285812,0.0657179300544316,0.7266314731812328
strike,0,0.8597486272514002,0.4734880617210442,0.38626056553035604,0.7124859278581677,0.11472389334751343,0.031213230269044212,-0.5354344578366386
strike,1,0.6963271372382192,0.32786344075554863,0.3684636964826705,0.8677230494963079,0.3725550450002789,0.011957188521524498,-0.31849361038867396
strike,2,0.5421923589740629,0.18338135310243597,0.35881100587162695,0.9065137888173392,0.5718449347117107,0.12727838350980536,0.1120592867855551
strike,3,0.5509919454717109,0.26491112050295096,0.28608082496876,0.9243123467117702,0.6749698542996255,0.19035352619844148,0.2251004095570588
strike,4,0.451936005857291,0.15990865621784867,0.2920273496394423,0.9485967944279164,0.8202189558781782,0.23205868648424233,0.3001272804002847
strike,5,0.5457808761377491,0.32798591084472384,0.21779496529302522,0.9413988636375863,0.8568368994528044,0.2836804090101738,0.39800870876063443
strike,6,0.48391649690307703,0.21405811190007773,0.2698583850029993,0.9544535708026315,0.9001330434209645,0.32704843361910796,0.40378383963829934
strike,7,0.5567831104752632,0.3293270605623887,0.2274560499128745,0.9568548601710275,0.893248058471132,0.31877848649291995,0.40200790142820164
strike,8,0.48855025370191774,0.17925609725325775,0.30929415644866,0.9630547710071411,0.8780729873254943,0.30149533026024644,0.37129155806469716
strike,9,0.5977201775317945,0.3836567071076342,0.2140634704241603,0.9531578181970677,0.8805949148178525,0.3168723556448554,0.3827013574966671
strike,10,0.5757077347513473,0.334259387909716,0.2414483468416313,0.9553374007692239,0.8804951108708815,0.2870363637579697,0.3680365887694038
strike,11,0.5442121483807808,0.2720169952537901,0.2721951531269907,0.9516062234349688,0.8723202788977427,0.2837698439715778,0.38143985228522037
strike,12,0.5476539206973805,0.30952533064354293,0.23812859005383757,0.9530315654135523,0.8563154758885719,0.2572036302877029,0.44654633614967565
strike,13,0.5460232842341011,0.32018635523090166,0.2258369290031994,0.9612894866719215,0.8715418713254937,0.28167583968110055,0.4651573284249717
strike,14,0.5421484137898678,0.3326184991346427,0.20952991465522508,0.9685619144671838,0.8658598697551061,0.2670181526389832,0.40282209039227634
strike,15,0.5399442438115796,0.3360524401106084,0.20389180370097115,0.9719591002001017,0.90274473496995,0.27502459675808133,0.3726492478578327
strike,16,0.5225289858218487,0.3214742253094687,0.20105476051238003,0.9742782751935696,0.9112523521231992,0.27173959831954897,0.3763646670381584
strike,17,0.5250813296363352,0.336409312195021,0.18867201744131423,0.9751838820348616,0.9207277217436214,0.30661876165419877,0.3900198839411497
strike,18,0.5200946877475526,0.3431164696541349,0.17697821809341774,0.9793578547013053,0.922306647887362,0.2918676523777096,0.3833022697050592
strike,19,0.5076769036346884,0.3307610182966856,0.17691588533800284,0.9803554311209653,0.9220267162225741,0.3229492168910145,0.4122783577931388
strike,20,0.5157196955088139,0.35411012963607436,0.16160956587273956,0.9813883273397929,0.9237133341345417,0.31214945225159174,0.30754648197168555
strike,21,0.5302252105927479,0.3840773260189003,0.14614788457384753,0.9813430548939874,0.9130885365127017,0.2962211113498713,0.3567489997672806
strike,22,0.5521433164970415,0.43610487768706807,0.11603843880997344,0.9820587617429136,0.9161444746170009,0.2972624327029785,0.4758034937407727
strike,23,0.5590393559640645,0.46565538589405675,0.09338397007000776,0.9815866494485659,0.912605338901333,0.1397698666089986,0.5124805771847591
reach,0,0.86796135301627,0.7033303133301023,0.16463103968616766,-0.12193827049487838,-0.2030168347737713,-0.02893161125693955,
reach,1,0.36645251223536446,0.48690086233609464,-0.12044835010073018,0.16426248994316817,-0.16960741304786864,0.012520941749747161,
reach,2,0.1196357228174848,0.30707818239944773,-0.18744245958196293,-0.10287432568377097,-0.0732550919759074,0.06733874766321124,
reach,3,0.21605613978077987,0.39029648792984206,-0.1742403481490622,0.2179971767293314,-0.09681105529521683,0.06524820037806278,
reach,4,0.1930710025081156,0.21495328306534034,-0.021882280557224743,0.4753204429754818,0.005440777038682509,0.05659518186010881,
reach,5,0.3199123207359458,0.31126849943266244,0.008643821303283339,0.42146827415087085,0.0016999282962060214,0.047909379777177685,
reach,6,0.3245187225474757,0.19316347383768706,0.13135524870978865,0.575213442750745,0.024371394420154346,0.073224434059314,
reach,7,0.4260204060858681,0.2887709614429158,0.1372494446429523,0.6890531727018152,0.024102591956820074,0.082835239399488,
reach,8,0.3701634652917235,0.14401614547214892,0.2261473198195746,0.7653339144440494,0.012432504378235731,0.04467417167179055,
reach,9,0.5279207982560252,0.3164256786343229,0.2114951196217023,0.693753744983516,-0.00036745591743647665,0.09976146309595546,
reach,10,0.49140118365420293,0.3031962686505907,0.18820491500361225,0.6527147166905101,-0.002411152890120505,0.07281183715489636,
reach,11,0.38658950374655465,0.23243263954823323,0.15415686419832142,0.6954905016356441,-0.0010259265095100556,0.08521185591907265,
reach,12,0.4257438253559739,0.2276920118401461,0.1980518135158278,0.6819123640493703,-0.014740058126579747,0.0856168519501116,
reach,13,0.4371176232712948,0.23293380679127706,0.2041838164800177,0.771830641945825,-0.01319405351338121,0.11806052736702133,
reach,14,0.44596021098794547,0.25216589410979584,0.19379431687814963,0.8199790139672138,0.020162440677778504,0.09202653795035465,
reach,15,0.448118392228085,0.2580338319343287,0.1900845602937563,0.8054136765653264,-0.016870348016761127,0.10373618243754479,
reach,16,0.42563992545614504,0.2506029256318155,0.17503699982432952,0.8027477305071168,0.016988350389304352,0.10221132439537162,
reach,17,0.43234160107745156,0.26756393763364994,0.16477766344380163,0.8279970047925095,0.038923169349370235,0.10514172980062142,
reach,18,0.4260928322954083,0.2764468515094193,0.149645980785989,0.828904470737087,0.03662594080862225,0.1016538502377653,
reach,19,0.422404790134832,0.26621303988999756,0.15619175024483445,0.8189477827408388,0.0334026539427722,0.1180315826269831,
reach,20,0.43244560996989023,0.2852847942765627,0.1471608156933275,0.8100811887584716,0.040529042813343796,0.09072532984911341,
reach,21,0.43887872521004556,0.30692290322942417,0.1319558219806214,0.8046966562137551,0.03553034083944173,0.09024916200371003,
reach,22,0.4197115792315701,0.34907940879061283,0.07063217044095726,0.7940785594403127,0.017930286974829346,0.07549325637461834,
reach,23,0.4013758133046562,0.3820323678219696,0.019343445482686628,0.815286892404282,0.008317084869389313,-0.006217130541315008,
drawer,0,0.8642450827306143,0.3693920693856415,0.4948530133449728,0.9172800783923276,0.3898830092418609,0.3530465183676541,0.7092539813478707
drawer,1,0.6861561993833114,0.1695660660659567,0.5165901333173547,0.9351733405461232,0.4337175769547741,0.3708249472819587,0.7764010912066398
drawer,2,0.5442524281114254,0.0363497322505113,0.5079026958609141,0.9382175172694297,0.43941250316287517,0.3519436025035666,0.7709438924099445
drawer,3,0.5427573193527655,0.0744858154582313,0.4682715038945342,0.9525070361145442,0.4531066594461437,0.3671695895758379,0.7948933265528406
drawer,4,0.45624567703197894,0.008550205294991953,0.447695471736987,0.9554272402154373,0.5049188402773523,0.4445816100898409,0.8117517159101734
drawer,5,0.48958579656101464,0.05429173584019453,0.4352940607208201,0.9638773083083387,0.5219633061982993,0.4581616094173555,0.8210085391154487
drawer,6,0.4613536918635722,-0.016097347376663906,0.47745103924023613,0.962072803667672,0.529746738495159,0.4646825549316387,0.8341170088163088
drawer,7,0.5021584653908011,0.0477970189337229,0.4543614464570782,0.9618328628152591,0.5235029434115879,0.4629235656449694,0.8319787747664833
drawer,8,0.4846224417143904,0.029983199540329464,0.45463924217406093,0.9621937985079306,0.5097634286979292,0.45412473640979334,0.8232510948644208
drawer,9,0.536207934752475,0.13400954209282157,0.4021983926596534,0.9563576902805667,0.5202551948149905,0.4701871270308655,0.8206774655027942
drawer,10,0.521588001625334,0.12072962116224772,0.4008583804630863,0.9600151903934088,0.5202029848184173,0.4706563856478835,0.8208519316804171
drawer,11,0.5292222113641671,0.13391773984053246,0.3953044715236347,0.9627824590222999,0.5317702343745527,0.47106023706706757,0.8305484518371233
drawer,12,0.506793205148321,0.055652807647531,0.45114039750079005,0.9645677690786663,0.5407950748605317,0.4900420143175316,0.835199551119743
drawer,13,0.5014315125972959,0.07109225126873764,0.43033926132855826,0.96597353016673,0.5471617732320684,0.48795706982158327,0.8371175412205323
drawer,14,0.49789480077845705,0.0852147885824992,0.41268001219595785,0.9661682571727807,0.5503843463064118,0.4915528245181723,0.8441044169457748
drawer,15,0.4869034912330813,0.09767710104747684,0.38922639018560445,0.9694015814787321,0.5607770568348576,0.49287485849789203,0.8542291583894805
drawer,16,0.4636133070219297,0.08238829573821604,0.38122501128371367,0.9706227115245484,0.5546819513600421,0.47706224811824216,0.8532482319151032
drawer,17,0.46115679548356336,0.08801772767535554,0.3731390678082078,0.9720901454730657,0.5625227190498829,0.49122554835569343,0.8617217820488536
drawer,18,0.45097163888303826,0.08722455474165425,0.363747084141384,0.9715120453995245,0.5630336653032235,0.4943917931179139,0.8629234520175144
drawer,19,0.43809677017290416,0.05975991037935602,0.37833685979354814,0.9706122878622307,0.5677791450222689,0.5003196306454738,0.8653492298621942
drawer,20,0.43406423079791734,0.05379751498922125,0.3802667158086961,0.9722949826906808,0.5723933561690553,0.511774656592197,0.8620718938859335
drawer,21,0.42781551915350213,0.04067510889564574,0.3871404102578564,0.9713107872195997,0.574692003510552,0.505108566341472,0.8512032601876991
drawer,22,0.44062252153812687,0.06769512464138427,0.3729273968967426,0.9731567870408757,0.5849147261508674,0.511860238347992,0.8631893766041656
drawer,23,0.4397848257193583,0.08199035830429191,0.3577944674150664,0.9708423749627862,0.5783559714745407,0.5057025149347769,0.8615399198263192
peg_insert,0,0.9327852119246748,0.8137256543522045,0.11905955757247033,-0.12171003945658199,0.022117675562586925,-0.019592518818702276,0.01583050599216862
peg_insert,1,0.7962310059587594,0.6899538137808181,0.1062771921779413,0.5248157055521137,0.2723314786707913,0.07783963030011265,0.09132402188655098
peg_insert,2,0.6383465982769654,0.48155109366278037,0.156795504614185,0.6818863141888019,0.5061325160099801,0.17393019192381132,0.16879974926359598
peg_insert,3,0.659007433188767,0.5042760863367708,0.1547313468519962,0.7763343480176629,0.5081695263065171,0.14397822150493578,0.1357998723858248
peg_insert,4,0.5783542364760859,0.433438236774184,0.14491599970190183,0.8239533780258471,0.5602983578185454,0.1527546747399644,0.17741971348350882
peg_insert,5,0.6271996874690016,0.5185447342553337,0.10865495321366792,0.861746175333193,0.5715143746525415,0.23280214622066786,0.18699519038142476
peg_insert,6,0.6014542589658494,0.4676608000375677,0.13379345892828165,0.8796551337094363,0.5927766922035611,0.26542401303354535,0.19524256672870466
peg_insert,7,0.6133246893736656,0.4752643752773167,0.1380603140963489,0.8833442864006167,0.5998671299874994,0.27882376397499997,0.1920068979849463
