task,layer,slot,target,r2_mean,r2_std
push,0,0,ee_position,0.44958881437778475,0.13322569615276075
push,0,0,ee_velocity,-0.002376261353492737,0.1980332411859816
push,0,0,ee_acceleration,-0.174545319378376,0.06673050442513512
push,0,0,contact_flag,0.04216160774230957,0.18507256806853728
push,0,0,contact_force_log1p_mag,-0.40052592754364014,0.40722834268624697
push,0,1,ee_position,0.4698975533246994,0.13819090694459074
push,0,1,ee_velocity,-0.010397130623459816,0.1911512803937813
push,0,1,ee_acceleration,-0.18343578279018402,0.043997337269244895
push,0,1,contact_flag,0.048201000317931175,0.18984872194117633
push,0,1,contact_force_log1p_mag,-0.3761452674865723,0.4070234253798875
push,0,2,ee_position,0.48885409235954286,0.13991942615005942
push,0,2,ee_velocity,-0.025033552944660187,0.19241149576931962
push,0,2,ee_acceleration,-0.2174651026725769,0.03728175881815034
push,0,2,contact_flag,-0.009849655628204345,0.24981629366176164
push,0,2,contact_force_log1p_mag,-0.46236361265182496,0.520247288108659
push,0,3,ee_position,0.5098030239343643,0.14145737165793865
push,0,3,ee_velocity,-0.0367152526974678,0.19384607288109884
push,0,3,ee_acceleration,-0.17692860215902328,0.039180370180026174
push,0,3,contact_flag,-0.057883736491203305,0.27066968330653096
push,0,3,contact_force_log1p_mag,-0.5551925659179687,0.6022978303451406
push,0,4,ee_position,0.5281913071870804,0.14145935535900786
push,0,4,ee_velocity,-0.05620294958353043,0.2084134840401411
push,0,4,ee_acceleration,-0.18452639132738113,0.03680985090356182
push,0,4,contact_flag,-0.11852806806564331,0.32017146686638465
push,0,4,contact_force_log1p_mag,-0.5972335696220398,0.6891886171193604
push,0,5,ee_position,0.5420837223529815,0.14264125884835116
push,0,5,ee_velocity,-0.07694792002439499,0.2260501375279785
push,0,5,ee_acceleration,-0.21407681703567505,0.06526124477717392
push,0,5,contact_flag,-0.13981629610061647,0.3133157156384191
push,0,5,contact_force_log1p_mag,-0.6458953499794007,0.7061757928467356
push,0,6,ee_position,0.5521487534046173,0.14546577733418456
push,0,6,ee_velocity,-0.09927035719156266,0.22335228028513654
push,0,6,ee_acceleration,-0.21563370078802108,0.0801522361173614
push,0,6,contact_flag,-0.1916969895362854,0.3404309801798039
push,0,6,contact_force_log1p_mag,-0.7595008969306946,0.8087889702748001
push,0,7,ee_position,0.5622684597969055,0.14846106698079403
push,0,7,ee_velocity,-0.13033091574907302,0.23676644757161627
push,0,7,ee_acceleration,-0.19276080429553985,0.064123404070258
push,0,7,contact_flag,-0.20354337692260743,0.335806110152747
push,0,7,contact_force_log1p_mag,-0.8072802186012268,0.845773290239641
push,1,0,ee_position,0.8337338209152222,0.0687903325385628
push,1,0,ee_velocity,0.552267211675644,0.10964654637569504
push,1,0,ee_acceleration,-0.5598528921604157,0.18385106190963477
push,1,0,contact_flag,0.10682988166809082,0.32043089867664115
push,1,0,contact_force_log1p_mag,-0.40415875911712645,0.822166033325387
push,1,1,ee_position,0.8296852469444275,0.07778829941818999
push,1,1,ee_velocity,0.5563394367694855,0.08481759909322549
push,1,1,ee_acceleration,-0.539707624912262,0.2604971308976892
push,1,1,contact_flag,0.08490452766418458,0.3141104384635594
push,1,1,contact_force_log1p_mag,-0.4119080066680908,0.7812774624722173
push,1,2,ee_position,0.8315530061721802,0.08462987552772674
push,1,2,ee_velocity,0.5329158961772918,0.07122547840287732
push,1,2,ee_acceleration,-0.6320408046245575,0.2832766231200068
push,1,2,contact_flag,0.14748706817626953,0.21023265635515945
push,1,2,contact_force_log1p_mag,-0.275245726108551,0.6672256105466917
push,1,3,ee_position,0.8303073048591614,0.08682616310324234
push,1,3,ee_velocity,0.5373625874519348,0.07750833815464696
push,1,3,ee_acceleration,-0.6088401138782501,0.18484366646932238
push,1,3,contact_flag,0.04493773877620697,0.2905846079260757
push,1,3,contact_force_log1p_mag,-0.3813320517539978,0.8280229131819783
push,1,4,ee_position,0.8388980984687805,0.07631428470506814
push,1,4,ee_velocity,0.5548817753791809,0.07690912828604704
push,1,4,ee_acceleration,-0.5950060844421386,0.22740908551830236
push,1,4,contact_flag,0.15964387655258178,0.26248663337026773
push,1,4,contact_force_log1p_mag,-0.2233566403388977,0.6990079381433213
push,1,5,ee_position,0.8490588665008545,0.07345240612896228
push,1,5,ee_velocity,0.5736006736755371,0.0740096753909177
push,1,5,ee_acceleration,-0.7023153483867646,0.4831968958518413
push,1,5,contact_flag,0.23381939232349397,0.22599053639670905
push,1,5,contact_force_log1p_mag,-0.2278725504875183,0.6326989446500775
push,1,6,ee_position,0.8571874618530273,0.07580542204078403
push,1,6,ee_velocity,0.5783646881580353,0.10053502371061696
push,1,6,ee_acceleration,-0.5553938686847687,0.27980357392080624
push,1,6,contact_flag,0.1748933434486389,0.26829932321438016
push,1,6,contact_force_log1p_mag,-0.34431631565093995,0.6223469483707111
push,1,7,ee_position,0.8603253841400147,0.0737839774161506
push,1,7,ee_velocity,0.5767935693264008,0.1748810673776087
push,1,7,ee_acceleration,-0.533861368894577,0.18375401783901008
push,1,7,contact_flag,0.2056771159172058,0.2754585235759562
push,1,7,contact_force_log1p_mag,-0.1959477663040161,0.5118478604079636
push,2,0,ee_position,0.84552081823349,0.11834729992883353
push,2,0,ee_velocity,0.6491626262664795,0.10634798614038565
push,2,0,ee_acceleration,-0.5961257934570312,0.2751279931257224
push,2,0,contact_flag,0.21609122753143312,0.22895493618667284
push,2,0,contact_force_log1p_mag,-0.22876577377319335,0.6127743700659484
push,2,1,ee_position,0.8492959380149842,0.11334823759769862
push,2,1,ee_velocity,0.6526908278465271,0.09057489701940319
push,2,1,ee_acceleration,-0.4766570687294006,0.13247670942663986
push,2,1,contact_flag,0.24889755249023438,0.20896824889313334
push,2,1,contact_force_log1p_mag,-0.14532318115234374,0.5404185736440534
push,2,2,ee_position,0.8516502857208252,0.1154841699940213
push,2,2,ee_velocity,0.6387419104576111,0.09859590985708283
push,2,2,ee_acceleration,-0.49025906920433043,0.12668637723027518
push,2,2,contact_flag,0.2915397763252258,0.16696816138377693
push,2,2,contact_force_log1p_mag,-0.08784570693969726,0.48004807401209004
push,2,3,ee_position,0.850472605228424,0.1254889444088227
push,2,3,ee_velocity,0.6468365252017975,0.10986432326171809
push,2,3,ee_acceleration,-0.5799343764781952,0.19682083285034047
push,2,3,contact_flag,0.31675862073898314,0.22585611982477982
push,2,3,contact_force_log1p_mag,-0.05484879016876221,0.5167846723992955
push,2,4,ee_position,0.8574280142784119,0.1162864479175752
push,2,4,ee_velocity,0.6541433155536651,0.11397414805460238
push,2,4,ee_acceleration,-0.5866454064846038,0.22573764661733325
push,2,4,contact_flag,0.3395323872566223,0.21279310650664596
push,2,4,contact_force_log1p_mag,0.00537179708480835,0.48277423804221775
push,2,5,ee_position,0.8645596981048584,0.10935503085855833
push,2,5,ee_velocity,0.6647231101989746,0.10832326342660621
push,2,5,ee_acceleration,-0.7291555076837539,0.4761916574414285
push,2,5,contact_flag,0.36362928748130796,0.18970369905362824
push,2,5,contact_force_log1p_mag,0.04105950593948364,0.42281454189460355
push,2,6,ee_position,0.8612331509590149,0.11435731669391333
push,2,6,ee_velocity,0.6867569923400879,0.11598308090059381
push,2,6,ee_acceleration,-0.555042241513729,0.3990983344419847
push,2,6,contact_flag,0.3349826693534851,0.1966148976500318
push,2,6,contact_force_log1p_mag,0.06118168830871582,0.38650223119697996
push,2,7,ee_position,0.8591785907745362,0.12072829343368509
push,2,7,ee_velocity,0.735771381855011,0.11014333965055767
push,2,7,ee_acceleration,-0.43917148411273954,0.20901993909764818
push,2,7,contact_flag,0.34240915775299074,0.20708316055585754
push,2,7,contact_force_log1p_mag,0.009477758407592773,0.4374980215320227
push,3,0,ee_position,0.862414813041687,0.12255622883775115
push,3,0,ee_velocity,0.6935045719146729,0.07148742063681637
push,3,0,ee_acceleration,-0.565536019206047,0.3003558905364543
push,3,0,contact_flag,0.24557060599327088,0.24855097208833493
push,3,0,contact_force_log1p_mag,-0.1940415620803833,0.6588711247735377
push,3,1,ee_position,0.8646252989768982,0.11635514495653637
push,3,1,ee_velocity,0.6820955634117126,0.08180985544052666
push,3,1,ee_acceleration,-0.42949932217597964,0.16858640677403075
push,3,1,contact_flag,0.22159592509269715,0.22402108869613951
push,3,1,contact_force_log1p_mag,-0.1974792957305908,0.6695760962296239
push,3,2,ee_position,0.8620021343231201,0.1214162040586054
push,3,2,ee_velocity,0.664909565448761,0.08545731581608754
push,3,2,ee_acceleration,-0.6150110244750977,0.18455790439114322
