task,layer,target,condition_type,condition_value,fold,r2,n_test_windows
push,0,ee_position,all,all,0,0.6899845004081726,2760
push,0,ee_position,all,all,1,0.6381668448448181,2760
push,0,ee_position,all,all,2,0.5450112819671631,2760
push,0,ee_position,all,all,3,0.671126663684845,2760
push,0,ee_position,all,all,4,0.5808683633804321,2616
push,0,ee_position,contact,0,0,0.677815854549408,2035
push,0,ee_position,contact,0,1,0.6587361693382263,2048
push,0,ee_position,contact,0,2,0.6651287078857422,2080
push,0,ee_position,contact,0,3,0.5846202969551086,2088
push,0,ee_position,contact,0,4,0.6697855591773987,2035
push,0,ee_position,contact,1,0,0.4863094389438629,674
push,0,ee_position,contact,1,1,0.6209795475006104,673
push,0,ee_position,contact,1,2,0.017121167853474617,675
push,0,ee_position,contact,1,3,0.2828153073787689,673
push,0,ee_position,contact,1,4,0.468763530254364,675
push,0,ee_position,contact_phase3,pre,0,0.22745686769485474,626
push,0,ee_position,contact_phase3,pre,1,0.33096545934677124,589
push,0,ee_position,contact_phase3,pre,2,0.5703672766685486,626
push,0,ee_position,contact_phase3,pre,3,0.48267272114753723,589
push,0,ee_position,contact_phase3,pre,4,0.16627733409404755,625
push,0,ee_position,contact_phase3,during,0,0.2579684555530548,768
push,0,ee_position,contact_phase3,during,1,0.18211667239665985,771
push,0,ee_position,contact_phase3,during,2,0.5726249814033508,766
push,0,ee_position,contact_phase3,during,3,0.6247065663337708,770
push,0,ee_position,contact_phase3,during,4,0.547548234462738,767
push,0,ee_position,contact_phase3,post,0,0.37900492548942566,1329
push,0,ee_position,contact_phase3,post,1,0.6758595108985901,1396
push,0,ee_position,contact_phase3,post,2,0.594763457775116,1338
push,0,ee_position,contact_phase3,post,3,0.6263488531112671,1358
push,0,ee_position,contact_phase3,post,4,0.33265507221221924,1338
push,0,ee_position,phase,phase=0,0,0.5677136778831482,1431
push,0,ee_position,phase,phase=0,1,0.5258579254150391,1431
push,0,ee_position,phase,phase=0,2,0.5705757737159729,1431
push,0,ee_position,phase,phase=0,3,0.49793389439582825,1431
push,0,ee_position,phase,phase=0,4,0.5596398711204529,1431
push,0,ee_position,phase,phase=7,0,-0.2970397174358368,626
push,0,ee_position,phase,phase=7,1,-0.9998019337654114,674
push,0,ee_position,phase,phase=7,2,-3.5583901405334473,655
push,0,ee_position,phase,phase=7,3,-1.479866862297058,668
push,0,ee_position,phase,phase=7,4,-1.6093182563781738,668
push,0,ee_position,phase,phase=5,0,-0.2371855229139328,653
push,0,ee_position,phase,phase=5,1,-0.12501215934753418,651
push,0,ee_position,phase,phase=5,2,0.12578384578227997,650
push,0,ee_position,phase,phase=5,3,0.3980489671230316,604
push,0,ee_position,phase,phase=5,4,0.4091871678829193,652
push,0,ee_velocity,all,all,0,-0.8708853125572205,2760
push,0,ee_velocity,all,all,1,-0.142172172665596,2760
push,0,ee_velocity,all,all,2,-0.24642415344715118,2760
push,0,ee_velocity,all,all,3,0.08515527844429016,2760
push,0,ee_velocity,all,all,4,-0.2456866204738617,2616
push,0,ee_velocity,contact,0,0,-0.19117307662963867,2035
push,0,ee_velocity,contact,0,1,-0.05333143100142479,2048
push,0,ee_velocity,contact,0,2,-0.4110108017921448,2080
push,0,ee_velocity,contact,0,3,0.004392262082546949,2088
push,0,ee_velocity,contact,0,4,0.005451531149446964,2035
push,0,ee_velocity,contact,1,0,-1.3680188655853271,674
push,0,ee_velocity,contact,1,1,-1.8556565046310425,673
push,0,ee_velocity,contact,1,2,-2.0163919925689697,675
push,0,ee_velocity,contact,1,3,-1.2934784889221191,673
push,0,ee_velocity,contact,1,4,-1.3918442726135254,675
push,0,ee_velocity,contact_phase3,pre,0,-0.6461866497993469,626
push,0,ee_velocity,contact_phase3,pre,1,-0.13161048293113708,589
push,0,ee_velocity,contact_phase3,pre,2,0.4037255048751831,626
push,0,ee_velocity,contact_phase3,pre,3,0.15995308756828308,589
push,0,ee_velocity,contact_phase3,pre,4,-0.012993118725717068,625
push,0,ee_velocity,contact_phase3,during,0,-2.5188519954681396,768
push,0,ee_velocity,contact_phase3,during,1,-1.8256648778915405,771
push,0,ee_velocity,contact_phase3,during,2,-3.8015427589416504,766
push,0,ee_velocity,contact_phase3,during,3,-1.770471215248108,770
push,0,ee_velocity,contact_phase3,during,4,-1.224539875984192,767
push,0,ee_velocity,contact_phase3,post,0,-0.7024800181388855,1329
push,0,ee_velocity,contact_phase3,post,1,0.04922705143690109,1396
push,0,ee_velocity,contact_phase3,post,2,-0.002034604549407959,1338
push,0,ee_velocity,contact_phase3,post,3,-0.5120007395744324,1358
push,0,ee_velocity,contact_phase3,post,4,-0.26908451318740845,1338
push,0,ee_velocity,phase,phase=0,0,-0.4344208836555481,1431
push,0,ee_velocity,phase,phase=0,1,-0.7710450887680054,1431
push,0,ee_velocity,phase,phase=0,2,-0.5449684858322144,1431
push,0,ee_velocity,phase,phase=0,3,-0.5777764916419983,1431
push,0,ee_velocity,phase,phase=0,4,-1.3353664875030518,1431
push,0,ee_velocity,phase,phase=7,0,-5.781649112701416,626
push,0,ee_velocity,phase,phase=7,1,-5.489614486694336,674
push,0,ee_velocity,phase,phase=7,2,-6.608884334564209,655
push,0,ee_velocity,phase,phase=7,3,-12.253311157226562,668
push,0,ee_velocity,phase,phase=7,4,-4.028902530670166,668
push,0,ee_velocity,phase,phase=5,0,-1.676971197128296,653
push,0,ee_velocity,phase,phase=5,1,-0.6763385534286499,651
push,0,ee_velocity,phase,phase=5,2,-2.035417079925537,650
push,0,ee_velocity,phase,phase=5,3,-0.39760884642601013,604
push,0,ee_velocity,phase,phase=5,4,-1.2577623128890991,652
push,0,ee_acceleration,all,all,0,-0.31165602803230286,2760
push,0,ee_acceleration,all,all,1,-0.14323101937770844,2760
push,0,ee_acceleration,all,all,2,-0.13626764714717865,2760
push,0,ee_acceleration,all,all,3,-0.02338414452970028,2760
push,0,ee_acceleration,all,all,4,-0.14319251477718353,2616
push,0,ee_acceleration,contact,0,0,-0.3179231584072113,2035
push,0,ee_acceleration,contact,0,1,-0.18079793453216553,2048
push,0,ee_acceleration,contact,0,2,-0.4866887331008911,2080
push,0,ee_acceleration,contact,0,3,-0.1054968535900116,2088
push,0,ee_acceleration,contact,0,4,-0.15085594356060028,2035
push,0,ee_acceleration,contact,1,0,-0.6051328778266907,674
push,0,ee_acceleration,contact,1,1,-2.6867516040802,673
push,0,ee_acceleration,contact,1,2,-1.1419655084609985,675
push,0,ee_acceleration,contact,1,3,-1.1639961004257202,673
push,0,ee_acceleration,contact,1,4,-2.545358657836914,675
push,0,ee_acceleration,contact_phase3,pre,0,-0.8887824416160583,626
push,0,ee_acceleration,contact_phase3,pre,1,-0.6881112456321716,589
push,0,ee_acceleration,contact_phase3,pre,2,-1.5271450281143188,626
push,0,ee_acceleration,contact_phase3,pre,3,-0.64176344871521,589
push,0,ee_acceleration,contact_phase3,pre,4,-1.2778968811035156,625
push,0,ee_acceleration,contact_phase3,during,0,-1.1188277006149292,768
push,0,ee_acceleration,contact_phase3,during,1,-0.8997939825057983,771
push,0,ee_acceleration,contact_phase3,during,2,-2.3802783489227295,766
push,0,ee_acceleration,contact_phase3,during,3,-0.6601447463035583,770
push,0,ee_acceleration,contact_phase3,during,4,-1.278869390487671,767
push,0,ee_acceleration,contact_phase3,post,0,-0.9501367211341858,1329
push,0,ee_acceleration,contact_phase3,post,1,-1.1257784366607666,1396
push,0,ee_acceleration,contact_phase3,post,2,-3.454108238220215,1338
push,0,ee_acceleration,contact_phase3,post,3,-2.520434617996216,1358
push,0,ee_acceleration,contact_phase3,post,4,-1.2232753038406372,1338
