task,layer,rsa_vel_tan,rsa_acc_tan,rsa_acc_tan_partial
push,0,0.46224926317008247,0.23236368367501783,0.15120341137406115
push,1,0.48102815272344956,0.2496900126140043,0.14853003357524514
push,2,0.4118447074646522,0.3659407766041802,0.3072630671119801
push,3,0.39600285035125093,0.379743508334336,0.3236990771876238
push,4,0.18516561177097363,0.29377263575705326,0.23394142949710128
push,5,0.17379358692573402,0.2865392059826799,0.2335787962887789
push,6,0.07093854018896803,0.19647436284544817,0.1921825053316043
push,7,0.1339617088479618,0.22177956955997108,0.20212260746709762
push,8,-0.24244579144327955,-0.11696814249994349,-0.045086267398646865
push,9,-0.03691612091403384,0.04178668036184837,0.06323206787001316
push,10,-0.04127032779875289,0.02004091579122802,0.05038781003528137
push,11,-0.25107794945956524,-0.16709036139526648,-0.09951986635732187
push,12,-0.14776934931807278,-0.04975297785411799,0.0008283254041800477
push,13,-0.09515043645816301,-0.016766181562270166,0.026097824499013652
push,14,0.0356073731347666,0.09677610537290902,0.10942038860046432
push,15,0.12298603984033593,0.20619490301679852,0.18869699480071697
push,16,0.1574029086689174,0.2408909338090978,0.20699011897425265
push,17,0.203089363796311,0.27310394324882564,0.22994685370751758
push,18,0.22874486725398235,0.29917146112534404,0.24389758923463808
push,19,0.23764647364658367,0.3040676700862556,0.24645641820785213
push,20,0.22919306613105447,0.30439728058021687,0.24934090718655255
push,21,0.2703095427930069,0.3346025685607684,0.2642011972750426
push,22,0.2877945727697356,0.34078932744705487,0.26247005924599104
push,23,0.22173114059395518,0.2791445458907608,0.22693236376868897
strike,0,0.721061963056351,0.6668708932652381,0.3606528824619615
strike,1,0.6894609238392746,0.6545258080493511,0.3822344200973274
strike,2,0.4986326532005111,0.6608015338917533,0.5114676364906582
strike,3,0.46370815439368934,0.6347524655073667,0.4949334959565523
strike,4,0.3458241828569686,0.5100094004726828,0.418343450740392
strike,5,0.3581576055783465,0.46298803338531075,0.3655887402283547
strike,6,0.27411751794566025,0.3098496079544318,0.29393862141524374
strike,7,0.3576972496133379,0.3973595828740033,0.31508401480944737
strike,8,-0.08146191844311884,-0.1557508931549421,0.007328164559457191
strike,9,0.26306363633793894,0.2096476715873298,0.1582662727379464
strike,10,0.28875010094338227,0.22720921148883,0.17216374853905878
strike,11,0.11363617252354524,-0.019566028877944962,0.033945788826240685
strike,12,0.3236643848361959,0.2824868989255685,0.19547215314125632
strike,13,0.36649688661771695,0.3210140056897776,0.19862914396782227
strike,14,0.46056715606202425,0.4352780683649273,0.2583979192184446
strike,15,0.5073882778327697,0.5156691058886262,0.31671752662266534
strike,16,0.5125608445926721,0.5212277313766637,0.3188299742718329
strike,17,0.5514521643412981,0.5604916690521606,0.339050329831333
strike,18,0.5636216835397707,0.5814127929532162,0.3588817749002058
strike,19,0.5743103812926945,0.5926245096817894,0.36372199036830166
strike,20,0.579062364240517,0.5916119064113355,0.35616286861530627
strike,21,0.6043663347117023,0.6212973636968292,0.3767413211563402
strike,22,0.6160836171781298,0.6356336462912267,0.3861942253880996
strike,23,0.5726658758757577,0.5842661379335472,0.35375780901712167
reach,0,0.7937542977357961,0.7626457050668454,0.2993175304314677
reach,1,0.7548616813030492,0.7103475330635897,0.2735101446866292
reach,2,0.700371100276098,0.6942125871280729,0.267774273726768
reach,3,0.7151070566635422,0.7085664503122467,0.28080406913472156
reach,4,0.7519575719154135,0.7572171808571209,0.2973089006223891
reach,5,0.7473129501860375,0.7529677601085071,0.2983155446374595
reach,6,0.74034313817541,0.7426177103836116,0.2844124951341578
reach,7,0.7634349471495449,0.7650126977511756,0.297031991656314
reach,8,0.7124781828624216,0.7065415632006732,0.2567157882356468
reach,9,0.7881263227793127,0.7771572926152293,0.30275741279186646
reach,10,0.802724478095648,0.7949778196496664,0.32769363078354813
reach,11,0.7603466321478044,0.7509046283756655,0.31138679217428733
reach,12,0.8111834042432563,0.8031182843960954,0.33901929809766035
reach,13,0.8135374647178252,0.8067067126666398,0.3452913664195843
reach,14,0.8316353938199481,0.8267041022456043,0.36678250692427083
reach,15,0.8393298071346088,0.8368088725470214,0.3774309528746366
reach,16,0.8390336135992189,0.8376482783060144,0.3805792244993205
reach,17,0.8423172259141748,0.843669580099927,0.39240642326876135
reach,18,0.8421386005024462,0.8435682240360038,0.3862771681937025
reach,19,0.8403927547920191,0.8433699402224174,0.38349351777614427
reach,20,0.8361895373015602,0.8416502522183956,0.38572920306835456
reach,21,0.834479789740538,0.8428895385820233,0.3873991244272656
reach,22,0.8256135426590708,0.8350953402223555,0.3792668303056532
reach,23,0.8058272464302202,0.8107566977787051,0.34685476425893763
drawer,0,0.8287271240951638,0.6827948302828633,0.3260692956479424
drawer,1,0.8089122560694917,0.6659376404218459,0.3090084272374518
drawer,2,0.6376795020885642,0.6363919100245083,0.4264724029751274
drawer,3,0.6187748207773102,0.6205758739190914,0.41453809734089203
drawer,4,0.32316082160681925,0.23846083142694252,0.17438011909694948
drawer,5,0.4428663068478519,0.35968968290194514,0.22732161979412172
drawer,6,0.4832479863795781,0.40823599336598876,0.2551964045428488
drawer,7,0.5734731427508531,0.5078486905509804,0.3071430808128211
drawer,8,0.518191792624476,0.4398937576242837,0.252426107886975
drawer,9,0.5333670518815806,0.44902269101369474,0.2264111320883414
drawer,10,0.5657045207291321,0.4913196288968883,0.2513928988254801
drawer,11,0.5819823254840483,0.4832195418539311,0.22784232849775854
drawer,12,0.6049988317857873,0.5349132822502884,0.2682181706976112
drawer,13,0.6479372293782908,0.5919117053086428,0.3172689156293771
drawer,14,0.6720040243698963,0.6278050694988867,0.3551125442129343
drawer,15,0.6903902746638918,0.6598259843896122,0.3918059441808984
