task,layer,target,scheme,scheme_param,r2_mean,r2_std
push,0,ee_acceleration,baseline_full,-1,-2.3291998624801638,0.48542040947433157
push,0,ee_acceleration,mean_over_slots,-1,-0.595921516418457,0.18959019608214794
push,0,ee_acceleration,single_slot,0,-0.17452703565359115,0.06668722550909965
push,0,ee_acceleration,single_slot,3,-0.17691215574741365,0.039174190218777494
push,0,ee_acceleration,single_slot,7,-0.19276843518018721,0.06415167626368246
push,0,ee_acceleration,prefix,0,-0.1746116504073143,0.06682578210899862
push,0,ee_acceleration,prefix,3,-0.9379691362380982,0.1846872459685931
push,0,ee_acceleration,prefix,7,-2.3291998624801638,0.48542040947433157
push,0,ee_acceleration,reverse,-1,-2.3289538860321044,0.48449982122671764
push,0,ee_acceleration,random_global_perm,-1,-2.328879880905151,0.48432868951122315
push,0,ee_acceleration,random_per_sample,-2,-1.5617273092269897,0.22496141391720362
push,0,obj_acceleration,baseline_full,-1,-2.649310851097107,1.2203688496255296
push,0,obj_acceleration,mean_over_slots,-1,-0.8621113061904907,0.539883178219855
push,0,obj_acceleration,single_slot,0,-0.2434832513332367,0.11965748604661171
push,0,obj_acceleration,single_slot,3,-0.27642109990119934,0.14593120336961843
push,0,obj_acceleration,single_slot,7,-0.3189768135547638,0.18768059061552883
push,0,obj_acceleration,prefix,0,-0.24355404675006867,0.11947996872019784
push,0,obj_acceleration,prefix,3,-1.0936405062675476,0.47288654271352576
push,0,obj_acceleration,prefix,7,-2.649310851097107,1.2203688496255296
push,0,obj_acceleration,reverse,-1,-2.6478458404541017,1.2192142043306284
push,0,obj_acceleration,random_global_perm,-1,-2.6477290391921997,1.2191907617301307
push,0,obj_acceleration,random_per_sample,-2,-2.0697794914245606,0.9560770659469175
push,0,contact_flag,baseline_full,-1,-1.720715582370758,0.7927427331821261
push,0,contact_flag,mean_over_slots,-1,-0.984410309791565,0.9179824408648019
push,0,contact_flag,single_slot,0,0.04221621751785278,0.18512323565073646
push,0,contact_flag,single_slot,3,-0.05787731111049652,0.27068361029677146
push,0,contact_flag,single_slot,7,-0.2035283327102661,0.3359076072969503
push,0,contact_flag,prefix,0,0.04220303297042847,0.18491217897561468
push,0,contact_flag,prefix,3,-0.5711818695068359,0.4357030817560013
push,0,contact_flag,prefix,7,-1.720715582370758,0.7927427331821261
push,0,contact_flag,reverse,-1,-1.7222477316856384,0.7949858665295472
push,0,contact_flag,random_global_perm,-1,-1.7217861890792847,0.794252980887054
push,0,contact_flag,random_per_sample,-2,-1.2857706069946289,0.9709929507280053
push,0,contact_force_log1p_mag,baseline_full,-1,-2.5466197729110718,1.8678027892423952
push,0,contact_force_log1p_mag,mean_over_slots,-1,-1.7438663482666015,1.7268845049528456
push,0,contact_force_log1p_mag,single_slot,0,-0.40047746896743774,0.40732419375079204
push,0,contact_force_log1p_mag,single_slot,3,-0.5552609443664551,0.6024239383875616
push,0,contact_force_log1p_mag,single_slot,7,-0.8073190689086914,0.8461516091207036
push,0,contact_force_log1p_mag,prefix,0,-0.4001727938652039,0.4066280901635162
push,0,contact_force_log1p_mag,prefix,3,-1.1314895510673524,1.002747501481958
push,0,contact_force_log1p_mag,prefix,7,-2.5466197729110718,1.8678027892423952
push,0,contact_force_log1p_mag,reverse,-1,-2.5474308252334597,1.870020970646609
push,0,contact_force_log1p_mag,random_global_perm,-1,-2.5500531435012816,1.8747272769178405
