task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,0,object_0_mass,static,0.0296,0.01632,1500
push,0,object_0_static_friction,static,0.022904,0.010995,1500
push,0,object_0_dynamic_friction,static,0.024817,0.012481,1500
push,0,surface_static_friction,static,0.034271,0.019894,1500
push,0,surface_dynamic_friction,static,0.097921,0.026824,1500
push,0,ee_velocity,dynamic,0.678397,0.034696,1500
push,0,ee_acceleration,dynamic,0.447128,0.034427,1500
push,0,ee_angular_velocity,dynamic,0.754001,0.037952,1500
push,0,object_velocity,dynamic,0.08041,0.085245,1500
push,0,object_acceleration,dynamic,0.317275,0.051557,1500
push,0,object_angular_velocity,dynamic,0.26626,0.062768,1500
push,0,ee_to_object_distance,dynamic,0.075303,0.008319,1500
push,0,object_to_target_distance,dynamic,0.0,0.0,1500
push,0,object_on_surface,dynamic,0.34165,0.013706,1500
push,0,contact_flag,dynamic,0.0,0.0,1500
push,0,contact_force,dynamic,0.0,0.0,1500
push,0,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,0,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,0,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,0,contact_object_surface_force,dynamic,0.0,0.0,1500
push,0,contact_point,dynamic,0.0,0.0,1500
push,0,phase,dynamic,0.0,0.0,1500
push,0,target_position,dynamic,0.0,0.0,1500
push,1,object_0_mass,static,0.031568,0.022676,1500
push,1,object_0_static_friction,static,0.023943,0.010902,1500
push,1,object_0_dynamic_friction,static,0.023306,0.013386,1500
push,1,surface_static_friction,static,0.035831,0.020958,1500
push,1,surface_dynamic_friction,static,0.099924,0.028473,1500
push,1,ee_velocity,dynamic,0.703172,0.029685,1500
push,1,ee_acceleration,dynamic,0.468492,0.037849,1500
push,1,ee_angular_velocity,dynamic,0.822869,0.045818,1500
push,1,object_velocity,dynamic,0.092666,0.069053,1500
push,1,object_acceleration,dynamic,0.315677,0.055789,1500
push,1,object_angular_velocity,dynamic,0.263411,0.062767,1500
push,1,ee_to_object_distance,dynamic,0.075686,0.008288,1500
push,1,object_to_target_distance,dynamic,0.0,0.0,1500
push,1,object_on_surface,dynamic,0.334227,0.020758,1500
push,1,contact_flag,dynamic,0.0,0.0,1500
push,1,contact_force,dynamic,0.0,0.0,1500
push,1,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,1,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,1,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,1,contact_object_surface_force,dynamic,0.0,0.0,1500
push,1,contact_point,dynamic,0.0,0.0,1500
push,1,phase,dynamic,0.0,0.0,1500
push,1,target_position,dynamic,0.0,0.0,1500
push,2,object_0_mass,static,0.03405,0.019781,1500
push,2,object_0_static_friction,static,0.021114,0.009893,1500
push,2,object_0_dynamic_friction,static,0.018608,0.012256,1500
push,2,surface_static_friction,static,0.034437,0.022442,1500
push,2,surface_dynamic_friction,static,0.094307,0.0288,1500
push,2,ee_velocity,dynamic,0.720549,0.023736,1500
push,2,ee_acceleration,dynamic,0.472752,0.043776,1500
push,2,ee_angular_velocity,dynamic,0.832014,0.042124,1500
push,2,object_velocity,dynamic,0.108022,0.083522,1500
push,2,object_acceleration,dynamic,0.310958,0.054794,1500
push,2,object_angular_velocity,dynamic,0.267219,0.061752,1500
push,2,ee_to_object_distance,dynamic,0.086605,0.008923,1500
push,2,object_to_target_distance,dynamic,0.0,0.0,1500
push,2,object_on_surface,dynamic,0.31788,0.021069,1500
push,2,contact_flag,dynamic,0.0,0.0,1500
push,2,contact_force,dynamic,0.0,0.0,1500
push,2,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,2,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,2,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,2,contact_object_surface_force,dynamic,0.0,0.0,1500
push,2,contact_point,dynamic,0.0,0.0,1500
push,2,phase,dynamic,0.0,0.0,1500
push,2,target_position,dynamic,0.0,0.0,1500
push,3,object_0_mass,static,0.056903,0.024607,1500
push,3,object_0_static_friction,static,0.014474,0.009317,1500
push,3,object_0_dynamic_friction,static,0.02466,0.010167,1500
push,3,surface_static_friction,static,0.040382,0.023694,1500
push,3,surface_dynamic_friction,static,0.10537,0.03278,1500
push,3,ee_velocity,dynamic,0.918886,0.008338,1500
push,3,ee_acceleration,dynamic,0.520186,0.045254,1500
push,3,ee_angular_velocity,dynamic,0.863611,0.034848,1500
push,3,object_velocity,dynamic,0.162113,0.195121,1500
push,3,object_acceleration,dynamic,0.371508,0.038501,1500
push,3,object_angular_velocity,dynamic,0.338041,0.044774,1500
push,3,ee_to_object_distance,dynamic,0.070533,0.00534,1500
push,3,object_to_target_distance,dynamic,0.0,0.0,1500
push,3,object_on_surface,dynamic,0.365789,0.024816,1500
push,3,contact_flag,dynamic,0.0,0.0,1500
push,3,contact_force,dynamic,0.0,0.0,1500
push,3,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,3,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,3,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,3,contact_object_surface_force,dynamic,0.0,0.0,1500
push,3,contact_point,dynamic,0.0,0.0,1500
push,3,phase,dynamic,0.0,0.0,1500
push,3,target_position,dynamic,0.0,0.0,1500
push,4,object_0_mass,static,0.061468,0.021891,1500
push,4,object_0_static_friction,static,0.01436,0.009119,1500
push,4,object_0_dynamic_friction,static,0.026196,0.011295,1500
push,4,surface_static_friction,static,0.037361,0.030833,1500
push,4,surface_dynamic_friction,static,0.099696,0.035038,1500
push,4,ee_velocity,dynamic,0.93199,0.007001,1500
push,4,ee_acceleration,dynamic,0.566595,0.042257,1500
push,4,ee_angular_velocity,dynamic,0.880131,0.031053,1500
push,4,object_velocity,dynamic,0.227727,0.190476,1500
push,4,object_acceleration,dynamic,0.410081,0.036648,1500
push,4,object_angular_velocity,dynamic,0.371426,0.045969,1500
push,4,ee_to_object_distance,dynamic,0.066142,0.009392,1500
push,4,object_to_target_distance,dynamic,0.0,0.0,1500
push,4,object_on_surface,dynamic,0.372033,0.029457,1500
push,4,contact_flag,dynamic,0.0,0.0,1500
push,4,contact_force,dynamic,0.0,0.0,1500
push,4,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,4,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,4,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,4,contact_object_surface_force,dynamic,0.0,0.0,1500
push,4,contact_point,dynamic,0.0,0.0,1500
push,4,phase,dynamic,0.0,0.0,1500
push,4,target_position,dynamic,0.0,0.0,1500
push,5,object_0_mass,static,0.078556,0.026634,1500
push,5,object_0_static_friction,static,0.013242,0.010125,1500
push,5,object_0_dynamic_friction,static,0.036194,0.019412,1500
push,5,surface_static_friction,static,0.035404,0.02799,1500
push,5,surface_dynamic_friction,static,0.103994,0.033671,1500
push,5,ee_velocity,dynamic,0.940235,0.004533,1500
push,5,ee_acceleration,dynamic,0.572617,0.055101,1500
push,5,ee_angular_velocity,dynamic,0.884752,0.02428,1500
push,5,object_velocity,dynamic,0.239652,0.239177,1500
push,5,object_acceleration,dynamic,0.436682,0.033691,1500
push,5,object_angular_velocity,dynamic,0.375368,0.07015,1500
push,5,ee_to_object_distance,dynamic,0.064937,0.009954,1500
push,5,object_to_target_distance,dynamic,0.0,0.0,1500
push,5,object_on_surface,dynamic,0.466574,0.050009,1500
push,5,contact_flag,dynamic,0.0,0.0,1500
push,5,contact_force,dynamic,0.0,0.0,1500
push,5,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,5,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,5,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,5,contact_object_surface_force,dynamic,0.0,0.0,1500
push,5,contact_point,dynamic,0.0,0.0,1500
push,5,phase,dynamic,0.0,0.0,1500
push,5,target_position,dynamic,0.0,0.0,1500
push,6,object_0_mass,static,0.080221,0.02427,1500
push,6,object_0_static_friction,static,0.007616,0.012418,1500
push,6,object_0_dynamic_friction,static,0.043163,0.020474,1500
push,6,surface_static_friction,static,0.043218,0.027778,1500
push,6,surface_dynamic_friction,static,0.11874,0.036751,1500
push,6,ee_velocity,dynamic,0.942791,0.005454,1500
push,6,ee_acceleration,dynamic,0.576174,0.055113,1500
push,6,ee_angular_velocity,dynamic,0.88817,0.024062,1500
push,6,object_velocity,dynamic,0.232767,0.272482,1500
push,6,object_acceleration,dynamic,0.444541,0.043237,1500
push,6,object_angular_velocity,dynamic,0.389279,0.099318,1500
push,6,ee_to_object_distance,dynamic,0.054779,0.00667,1500
push,6,object_to_target_distance,dynamic,0.0,0.0,1500
push,6,object_on_surface,dynamic,0.529249,0.033718,1500
push,6,contact_flag,dynamic,0.0,0.0,1500
push,6,contact_force,dynamic,0.0,0.0,1500
push,6,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,6,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,6,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,6,contact_object_surface_force,dynamic,0.0,0.0,1500
push,6,contact_point,dynamic,0.0,0.0,1500
push,6,phase,dynamic,0.0,0.0,1500
push,6,target_position,dynamic,0.0,0.0,1500
push,7,object_0_mass,static,0.081259,0.024257,1500
push,7,object_0_static_friction,static,0.012521,0.009776,1500
push,7,object_0_dynamic_friction,static,0.03806,0.024185,1500
push,7,surface_static_friction,static,0.043447,0.027118,1500
push,7,surface_dynamic_friction,static,0.124828,0.036449,1500
push,7,ee_velocity,dynamic,0.943937,0.005082,1500
