task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,0,object_0_mass,static,0.054345,0.028528,1500
push,0,object_0_static_friction,static,0.028777,0.014048,1500
push,0,object_0_dynamic_friction,static,0.029047,0.016231,1500
push,0,surface_static_friction,static,0.043483,0.022497,1500
push,0,surface_dynamic_friction,static,0.11767,0.039507,1500
push,0,ee_velocity,dynamic,0.859553,0.008254,1500
push,0,ee_acceleration,dynamic,0.539969,0.054842,1500
push,0,ee_angular_velocity,dynamic,0.868606,0.03082,1500
push,0,object_velocity,dynamic,0.176553,0.154719,1500
push,0,object_acceleration,dynamic,0.388557,0.034345,1500
push,0,object_angular_velocity,dynamic,0.340935,0.052787,1500
push,0,ee_to_object_distance,dynamic,0.295392,0.015513,1500
push,0,object_to_target_distance,dynamic,0.0,0.0,1500
push,0,object_on_surface,dynamic,0.378545,0.014211,1500
push,0,contact_flag,dynamic,0.0,0.0,1500
push,0,contact_force,dynamic,0.0,0.0,1500
push,0,phase,dynamic,0.0,0.0,1500
push,1,object_0_mass,static,0.052536,0.036863,1500
push,1,object_0_static_friction,static,0.029526,0.014093,1500
push,1,object_0_dynamic_friction,static,0.02866,0.01635,1500
push,1,surface_static_friction,static,0.044315,0.024029,1500
push,1,surface_dynamic_friction,static,0.116858,0.039805,1500
push,1,ee_velocity,dynamic,0.876478,0.006329,1500
push,1,ee_acceleration,dynamic,0.558141,0.052975,1500
push,1,ee_angular_velocity,dynamic,0.887382,0.030181,1500
push,1,object_velocity,dynamic,0.191389,0.13529,1500
push,1,object_acceleration,dynamic,0.395564,0.044245,1500
push,1,object_angular_velocity,dynamic,0.342979,0.058026,1500
push,1,ee_to_object_distance,dynamic,0.343695,0.02675,1500
push,1,object_to_target_distance,dynamic,0.0,0.0,1500
push,1,object_on_surface,dynamic,0.382899,0.024701,1500
push,1,contact_flag,dynamic,0.0,0.0,1500
push,1,contact_force,dynamic,0.0,0.0,1500
push,1,phase,dynamic,0.0,0.0,1500
